"Notes"	"State of Residence"	"State of Residence Code"	"Five Minute APGAR Score"	"Five Minute APGAR Score Code"	Births	Average Age of Mother (years)	Standard Deviation for Average Age of Mother	Average OE Gestational Age (weeks)	Standard Deviation for Average OE Gestational Age	Average LMP Gestational Age (weeks)	Standard Deviation for Average LMP Gestational Age	Average Birth Weight (grams)	Standard Deviation for Average Birth Weight	Average Pre-pregnancy BMI	Standard Deviation for Average Pre-pregnancy BMI	Average Number of Prenatal Visits	Standard Deviation for Average Number of Prenatal Visits	Average Interval Since Last Live Birth (months)	Standard Deviation for Average Interval Since Last Live Birth
	"Alaska"	"02"	"10"	"10"	345	29.42	5.17	39.35	1.37	39.47	1.78	3524.99	462.90	25.34	5.38	11.58	3.92	36.73	21.57
	"Alaska"	"02"	"Unknown or Not Stated"	"99"	55	28.87	5.54	38.25	2.58	37.74	3.35	3176.37	696.83	25.92	5.07	7.52	5.39	48.66	39.24
	"Arizona"	"04"	"0"	"0"	25	28.20	5.31	31.75	7.48	31.79	7.44	1952.17	1387.08	27.08	6.50	6.00	5.33	50.65	44.99
	"Arizona"	"04"	"1"	"1"	157	28.14	6.34	28.56	7.79	28.65	7.89	1557.16	1318.21	29.46	7.56	7.01	4.83	46.49	43.92
	"Arizona"	"04"	"2"	"2"	125	28.06	5.82	32.58	7.54	32.91	7.56	2200.20	1298.44	27.44	6.63	8.79	5.95	54.62	43.02
	"Arizona"	"04"	"3"	"3"	131	28.63	5.85	33.94	6.39	34.41	6.35	2498.89	1261.81	30.19	8.92	8.77	5.16	59.23	43.10
	"Arizona"	"04"	"4"	"4"	143	28.54	5.73	34.69	5.81	34.71	6.23	2571.88	1148.61	28.04	6.63	9.05	4.99	59.86	48.23
	"Arizona"	"04"	"5"	"5"	251	28.06	6.32	35.36	4.92	35.71	4.94	2569.86	1004.50	27.08	7.14	8.99	4.53	60.17	52.29
	"Arizona"	"04"	"6"	"6"	493	28.23	6.14	36.20	4.46	36.40	4.63	2819.53	1014.95	28.21	7.50	9.91	4.88	55.89	43.50
	"Arizona"	"04"	"7"	"7"	1291	28.54	6.03	36.83	4.00	37.05	4.21	2943.91	915.25	27.65	6.77	10.33	4.84	58.73	46.09
	"Arizona"	"04"	"8"	"8"	9419	28.35	5.90	38.08	2.41	38.22	2.76	3224.54	671.15	27.51	6.85	10.84	4.46	51.83	39.51
	"Arizona"	"04"	"9"	"9"	67440	28.36	5.83	38.61	1.59	38.69	2.10	3303.38	521.44	27.19	6.64	10.74	4.23	50.22	37.96
	"Arizona"	"04"	"10"	"10"	1115	28.95	5.81	39.05	1.33	39.16	1.80	3408.55	478.84	26.38	6.22	10.97	4.05	47.14	33.69
	"Arizona"	"04"	"Unknown or Not Stated"	"99"	133	29.46	5.93	37.13	4.83	37.14	4.99	2934.19	964.59	27.58	6.86	6.15	5.46	49.60	40.11
	"Arkansas"	"05"	"0"	"0"	34	26.26	5.90	30.61	7.66	30.94	8.19	1943.76	1330.87	28.96	7.64	5.71	4.14	53.33	46.42
	"Arkansas"	"05"	"1"	"1"	116	25.98	6.13	30.85	7.34	31.03	7.63	1889.44	1169.23	30.03	7.44	6.98	5.12	40.55	32.10
	"Arkansas"	"05"	"2"	"2"	99	26.21	6.23	32.65	7.02	33.17	7.22	2276.01	1247.86	27.76	7.86	7.42	5.00	49.80	49.46
	"Arkansas"	"05"	"3"	"3"	130	27.42	6.14	34.43	5.05	34.70	5.14	2461.80	1132.74	30.19	9.53	8.64	5.22	58.26	54.07
	"Arkansas"	"05"	"4"	"4"	185	27.35	6.12	35.34	4.74	35.56	5.02	2626.89	950.07	28.62	7.75	8.67	4.63	47.66	41.06
	"Arkansas"	"05"	"5"	"5"	314	27.66	5.81	35.86	4.29	36.10	4.61	2732.91	959.90	29.13	8.36	9.64	4.87	55.03	37.29
	"Arkansas"	"05"	"6"	"6"	612	27.12	5.86	36.13	4.20	36.29	4.42	2782.69	971.55	29.12	8.08	9.21	4.67	50.85	40.23
	"Arkansas"	"05"	"7"	"7"	1400	27.08	5.81	37.17	3.07	37.37	3.54	3007.27	776.03	29.03	7.83	9.64	4.29	52.49	39.58
	"Arkansas"	"05"	"8"	"8"	6710	27.15	5.70	38.01	2.20	38.22	2.68	3198.49	634.98	28.48	7.43	10.25	3.94	49.99	37.15
	"Arkansas"	"05"	"9"	"9"	26211	26.97	5.61	38.52	1.48	38.70	2.13	3280.20	508.54	28.01	7.29	10.72	3.73	48.66	35.43
	"Arkansas"	"05"	"10"	"10"	1089	27.29	5.40	38.73	1.28	38.86	1.87	3338.31	471.42	26.99	6.77	10.52	3.43	45.96	35.54
	"Arkansas"	"05"	"Unknown or Not Stated"	"99"	118	28.39	5.73	35.97	5.15	35.97	5.35	2794.75	1023.86	26.17	6.58	6.26	5.09	45.32	35.20
	"California"	"06"	"0"	"0"	138	29.78	6.01	30.56	8.13	30.68	8.09	1981.11	1429.74	28.51	7.44	8.74	5.94	48.97	35.11
	"California"	"06"	"1"	"1"	598	30.18	6.21	27.32	7.69	27.43	7.69	1451.04	1295.21	28.19	7.12	7.92	5.11	62.24	48.77
	"California"	"06"	"2"	"2"	401	30.06	6.34	32.32	7.70	32.37	7.66	2189.54	1339.60	27.48	6.74	9.85	5.70	62.75	51.50
	"California"	"06"	"3"	"3"	468	30.07	6.44	34.43	6.38	34.55	6.39	2507.29	1202.15	27.93	7.20	10.58	5.41	61.25	44.00
	"California"	"06"	"4"	"4"	650	30.34	6.42	35.01	5.64	35.16	5.71	2582.03	1155.41	27.38	6.79	10.92	5.11	54.88	45.51
	"California"	"06"	"5"	"5"	1241	30.19	6.27	35.55	5.26	35.64	5.33	2682.68	1094.46	27.81	7.07	11.04	5.24	62.02	46.56
	"California"	"06"	"6"	"6"	2589	30.32	6.21	36.07	4.75	36.20	4.83	2781.58	1025.27	27.61	7.09	11.17	4.99	62.95	48.54
	"California"	"06"	"7"	"7"	6258	30.39	6.18	36.53	4.28	36.63	4.34	2886.12	965.49	27.66	6.99	11.57	5.11	60.88	45.76
	"California"	"06"	"8"	"8"	31133	30.18	6.05	37.83	2.93	37.93	2.99	3159.86	753.19	27.32	6.76	11.85	4.77	57.45	43.06
	"California"	"06"	"9"	"9"	401156	30.01	5.89	38.74	1.57	38.83	1.71	3314.77	513.75	26.68	6.29	11.92	4.17	54.27	39.64
	"California"	"06"	"10"	"10"	7257	30.38	5.61	38.96	1.34	39.04	1.52	3374.55	483.21	25.94	5.97	11.73	3.95	48.28	34.79
	"California"	"06"	"Unknown or Not Stated"	"99"	3031	30.32	5.92	38.07	3.63	38.14	3.74	3185.86	767.20	25.84	6.44	10.87	5.10	46.98	36.09
	"Colorado"	"08"	"0"	"0"	17	28.29	6.53	28.76	7.98	29.12	8.40	1909.13	1384.45	26.45	9.15	6.12	4.04	60.38	57.49
	"Colorado"	"08"	"1"	"1"	111	28.58	5.90	28.59	8.10	28.68	7.83	1603.75	1281.50	27.68	8.50	6.15	4.67	46.20	50.84
	"Colorado"	"08"	"2"	"2"	81	28.75	6.10	33.31	7.30	33.46	7.40	2330.09	1264.48	27.97	6.82	9.53	5.90	61.07	55.29
	"Colorado"	"08"	"3"	"3"	72	29.93	5.62	34.86	6.25	34.93	6.45	2564.39	1162.33	28.00	7.40	9.38	5.18	60.00	38.28
	"Colorado"	"08"	"4"	"4"	135	28.67	6.17	36.07	5.21	36.47	5.49	2658.50	1005.93	27.52	7.05	9.56	4.64	54.78	39.49
	"Colorado"	"08"	"5"	"5"	246	29.37	5.82	36.39	4.65	36.69	4.84	2723.47	953.80	26.75	6.71	10.42	4.76	50.83	38.03
	"Colorado"	"08"	"6"	"6"	507	29.65	6.12	36.73	4.11	36.82	4.20	2846.78	898.30	27.32	6.79	10.25	4.48	47.61	41.70
	"Colorado"	"08"	"7"	"7"	1548	29.37	5.99	37.11	3.74	37.23	3.91	2890.21	853.12	27.14	6.48	10.13	4.34	50.83	41.66
	"Colorado"	"08"	"8"	"8"	10137	29.68	5.80	38.12	2.46	38.20	2.77	3116.07	647.90	26.55	6.31	10.46	4.10	48.40	36.11
	"Colorado"	"08"	"9"	"9"	48907	29.49	5.67	38.77	1.54	38.83	1.94	3221.67	492.85	26.24	6.09	10.58	3.88	48.40	35.38
	"Colorado"	"08"	"10"	"10"	849	29.68	5.61	39.06	1.36	39.12	1.78	3294.14	465.49	25.55	5.84	10.83	3.58	43.23	30.48
	"Colorado"	"08"	"Unknown or Not Stated"	"99"	275	29.30	5.94	37.06	4.73	37.11	4.73	2957.65	778.33	26.85	6.27	6.48	6.04	45.34	39.78
	"Connecticut"	"09"	"0"	"0"	12	29.25	5.05	31.67	8.23	31.67	8.40	1994.45	1075.97	29.58	7.86	8.40	4.41	73.00	35.08
	"Connecticut"	"09"	"1"	"1"	62	29.68	5.88	24.97	7.52	25.23	7.46	1155.09	1214.86	27.93	5.50	6.50	4.40	67.75	47.33
	"Connecticut"	"09"	"2"	"2"	37	28.49	6.48	32.38	8.14	32.84	8.60	2506.91	1417.93	28.89	6.83	10.24	5.58	83.20	81.02
	"Connecticut"	"09"	"3"	"3"	46	30.85	5.61	33.93	6.00	33.93	6.02	2304.07	1181.21	27.72	6.29	11.19	5.98	82.56	58.91
	"Connecticut"	"09"	"4"	"4"	76	30.80	5.08	35.64	5.48	36.22	5.57	2626.51	1048.79	28.21	7.19	11.35	4.34	70.76	55.59
	"Connecticut"	"09"	"5"	"5"	133	30.41	6.25	35.87	5.13	36.31	5.18	2754.62	1083.92	28.68	7.24	11.90	4.81	57.84	51.21
	"Connecticut"	"09"	"6"	"6"	234	30.56	6.61	36.34	4.79	36.61	4.86	2821.99	1011.10	29.13	7.77	11.54	4.76	61.91	49.77
	"Connecticut"	"09"	"7"	"7"	540	30.43	6.07	36.95	4.01	37.18	4.36	2961.20	925.04	28.40	7.35	11.70	4.20	57.43	43.70
	"Connecticut"	"09"	"8"	"8"	3287	30.50	5.60	37.98	2.69	38.17	3.02	3188.93	717.19	27.39	6.72	12.44	4.14	53.97	39.54
	"Connecticut"	"09"	"9"	"9"	30026	30.49	5.53	38.73	1.64	38.91	2.05	3324.54	530.88	26.74	6.42	12.51	3.78	53.59	39.99
	"Connecticut"	"09"	"10"	"10"	226	31.86	4.71	39.19	1.26	39.46	1.88	3440.21	496.90	26.39	6.51	12.16	2.82	45.09	36.28
	"Connecticut"	"09"	"Unknown or Not Stated"	"99"	46	29.50	5.04	36.27	4.45	36.53	4.53	2755.72	965.54	25.94	6.96	9.93	4.44	55.88	38.64
	"Delaware"	"10"	"1"	"1"	22	29.82	5.98	28.23	8.37	28.14	8.32	1363.10	1221.92	28.83	7.11	6.86	5.08	42.90	27.58
	"Delaware"	"10"	"2"	"2"	14	30.21	8.28	33.86	5.93	32.93	6.27	2434.43	945.04	29.90	8.61	9.43	5.00	41.80	24.75
	"Delaware"	"10"	"3"	"3"	28	29.29	6.40	35.79	4.45	35.86	4.61	2553.43	973.54	30.97	9.34	8.74	5.78	53.55	35.47
	"Delaware"	"10"	"4"	"4"	37	28.43	5.44	34.27	6.42	34.35	6.59	2169.89	1131.24	26.09	6.42	8.37	4.55	42.30	27.94
	"Delaware"	"10"	"5"	"5"	55	29.15	6.79	35.51	5.04	36.00	5.39	2576.56	1016.27	30.68	8.08	10.08	4.57	60.36	42.04
	"Delaware"	"10"	"6"	"6"	97	29.89	6.29	36.29	4.33	36.67	4.71	2784.31	902.78	29.35	7.85	9.14	4.22	63.36	51.82
	"Delaware"	"10"	"7"	"7"	206	29.42	6.14	36.39	4.08	36.50	4.32	2818.13	931.42	29.82	8.45	9.20	4.19	58.56	43.48
	"Delaware"	"10"	"8"	"8"	966	28.81	5.74	37.79	2.69	38.00	3.10	3153.12	744.83	28.78	7.70	10.26	4.10	56.57	43.84
	"Delaware"	"10"	"9"	"9"	9019	28.98	5.66	38.66	1.59	38.84	2.23	3291.74	531.47	27.40	6.89	10.45	3.80	52.28	37.31
	"Delaware"	"10"	"10"	"10"	134	29.87	5.99	39.09	1.06	39.14	1.46	3417.24	443.44	26.23	6.32	10.73	3.29	52.65	41.75
	"Delaware"	"10"	"Unknown or Not Stated"	"99"	41	28.17	5.03	35.12	6.25	34.54	6.37	2746.58	941.42	27.99	6.47	6.29	4.90	46.81	41.98
	"District of Columbia"	"11"	"1"	"1"	15	28.13	6.37	25.00	7.06	25.79	7.25	942.36	1092.69	27.91	4.43	5.29	4.60	31.25	4.60
	"District of Columbia"	"11"	"2"	"2"	12	29.75	4.97	28.75	6.26	28.92	6.24	1700.18	1055.39	28.50	8.26	4.91	3.23	86.00	51.27
	"District of Columbia"	"11"	"3"	"3"	17	30.35	6.92	30.82	7.71	30.82	7.76	1954.41	1399.91	26.05	4.19	8.20	4.37	111.50	80.59
	"District of Columbia"	"11"	"4"	"4"	19	28.26	4.63	35.37	5.86	35.53	5.75	2662.16	1337.39	25.86	6.50	9.83	5.01	38.44	30.01
	"District of Columbia"	"11"	"5"	"5"	32	28.72	8.04	34.38	5.91	34.06	6.82	2385.06	1134.61	26.81	6.99	7.07	3.87	53.20	32.11
	"District of Columbia"	"11"	"6"	"6"	71	29.35	6.08	35.01	5.16	35.24	5.44	2500.30	1038.06	29.07	7.49	8.03	4.40	65.52	37.88
	"District of Columbia"	"11"	"7"	"7"	154	30.77	6.29	35.40	4.87	35.50	5.04	2575.76	1029.55	27.11	7.75	8.93	4.43	51.28	42.02
	"District of Columbia"	"11"	"8"	"8"	661	31.20	5.97	37.65	3.11	37.67	3.39	3026.41	789.69	26.62	6.72	10.11	3.95	53.66	39.08
	"District of Columbia"	"11"	"9"	"9"	8140	30.85	6.10	38.76	1.69	38.77	2.04	3252.88	531.17	25.77	6.36	10.38	3.97	51.46	37.25
	"District of Columbia"	"11"	"10"	"10"	57	32.53	5.00	38.37	2.24	38.63	2.88	3171.00	544.97	24.78	6.93	11.45	4.11	49.30	43.26
	"District of Columbia"	"11"	"Unknown or Not Stated"	"99"	29	28.72	6.49	36.54	5.78	36.50	5.89	2787.48	936.04	24.93	4.61	6.29	4.94	46.59	23.41
	"Florida"	"12"	"0"	"0"	74	28.55	5.77	30.58	7.21	30.81	7.36	2047.76	1339.84	28.82	7.17	6.84	5.53	55.79	40.08
	"Florida"	"12"	"1"	"1"	516	28.64	6.05	28.19	7.60	28.62	7.70	1510.62	1268.86	28.06	7.59	6.67	4.85	60.33	51.43
	"Florida"	"12"	"2"	"2"	359	29.26	6.05	32.59	6.97	33.00	6.96	2223.37	1324.77	28.52	7.85	8.43	4.55	63.03	49.20
	"Florida"	"12"	"3"	"3"	461	28.75	6.22	33.40	6.46	33.61	6.57	2306.21	1222.07	28.04	7.45	8.45	4.60	64.10	54.82
	"Florida"	"12"	"4"	"4"	540	28.79	6.23	34.91	5.53	35.22	5.70	2570.91	1121.31	28.52	7.49	8.95	4.68	65.90	50.95
	"Florida"	"12"	"5"	"5"	891	28.83	6.10	34.94	5.10	35.24	5.30	2573.52	1117.60	28.19	7.24	9.33	4.57	59.37	48.50
	"Florida"	"12"	"6"	"6"	1574	29.21	6.41	35.50	4.91	35.72	5.11	2656.10	1055.52	27.86	7.42	9.53	4.50	61.71	49.35
	"Florida"	"12"	"7"	"7"	3988	28.91	6.05	36.46	4.14	36.75	4.41	2862.69	947.70	27.62	7.16	9.86	4.47	60.31	46.73
	"Florida"	"12"	"8"	"8"	22910	29.07	5.92	37.78	2.74	37.98	3.09	3131.94	721.38	27.45	6.92	10.45	4.31	56.47	42.89
	"Florida"	"12"	"9"	"9"	186183	29.15	5.78	38.58	1.58	38.71	2.16	3278.85	521.57	26.75	6.47	10.83	4.01	54.19	40.68
	"Florida"	"12"	"10"	"10"	3134	29.68	5.43	39.05	1.31	39.18	1.85	3402.58	469.86	25.54	5.86	11.09	3.64	47.15	34.88
	"Florida"	"12"	"Unknown or Not Stated"	"99"	912	28.88	5.95	36.62	5.02	36.66	5.26	2852.21	920.96	26.50	6.36	7.13	5.57	46.52	39.26
	"Georgia"	"13"	"0"	"0"	62	27.34	6.29	31.61	6.80	31.87	7.35	1946.30	1183.70	31.44	9.11	8.69	5.86	53.24	43.25
	"Georgia"	"13"	"1"	"1"	366	28.58	6.37	27.71	7.69	28.31	7.85	1445.90	1215.77	29.23	7.83	7.36	5.87	59.88	51.85
	"Georgia"	"13"	"2"	"2"	285	28.32	6.21	31.74	7.20	32.24	7.37	2038.88	1309.11	29.81	8.39	9.28	6.33	57.49	42.89
	"Georgia"	"13"	"3"	"3"	239	28.41	5.78	33.49	6.13	34.04	6.32	2310.44	1171.36	28.57	7.62	9.10	5.71	55.02	46.66
	"Georgia"	"13"	"4"	"4"	312	28.60	6.28	34.04	5.79	34.37	6.16	2384.67	1128.42	29.95	8.08	9.36	5.73	60.81	45.34
	"Georgia"	"13"	"5"	"5"	524	28.15	6.14	34.68	5.26	35.26	5.45	2547.24	1107.70	28.82	7.87	9.76	5.35	59.08	48.31
	"Georgia"	"13"	"6"	"6"	898	28.00	6.11	35.55	4.82	35.95	5.01	2669.34	1028.68	29.31	8.59	10.23	5.64	60.76	49.82
	"Georgia"	"13"	"7"	"7"	2396	28.06	6.23	36.36	4.17	36.75	4.45	2847.37	950.15	28.97	7.88	10.69	5.38	56.09	42.66
	"Georgia"	"13"	"8"	"8"	15374	28.32	5.96	37.82	2.62	38.13	3.04	3111.74	692.79	28.17	7.35	10.95	5.38	52.25	40.32
	"Georgia"	"13"	"9"	"9"	103403	28.45	5.86	38.49	1.69	38.64	2.32	3241.23	540.28	27.46	6.93	11.51	4.72	51.91	38.96
	"Georgia"	"13"	"10"	"10"	2002	28.37	5.71	38.75	1.42	38.98	2.13	3305.85	503.39	26.95	6.82	10.71	3.91	47.72	35.46
	"Georgia"	"13"	"Unknown or Not Stated"	"99"	311	28.26	6.22	36.46	4.82	36.64	5.03	2718.69	903.21	27.19	7.29	6.53	5.77	47.48	38.71
	"Hawaii"	"15"	"0"	"0"	14	27.57	5.96	32.86	8.11	32.29	7.81	2187.25	1155.66	24.84	7.05	7.21	7.26	38.71	30.56
	"Hawaii"	"15"	"1"	"1"	28	30.25	6.38	26.75	8.30	27.36	8.25	1454.35	1392.42	26.93	5.58	5.73	4.04	57.91	62.78
	"Hawaii"	"15"	"2"	"2"	25	27.88	5.91	35.00	6.84	35.36	7.62	2653.68	1151.81	25.92	5.36	7.17	5.01	58.22	37.87
	"Hawaii"	"15"	"3"	"3"	29	29.48	5.76	32.79	6.71	32.76	6.60	2022.83	1162.55	26.10	5.40	8.00	5.50	43.08	24.92
	"Hawaii"	"15"	"4"	"4"	38	29.45	5.18	34.45	6.87	34.61	6.85	2513.55	1281.14	28.41	6.69	8.06	4.93	62.17	43.02
	"Hawaii"	"15"	"5"	"5"	62	29.81	6.50	35.39	5.38	35.95	5.49	2804.87	1085.72	28.98	7.25	9.05	5.98	52.73	29.66
	"Hawaii"	"15"	"6"	"6"	168	29.77	6.67	36.12	4.66	36.79	5.04	2694.08	1001.95	26.66	6.59	9.33	5.74	63.13	50.23
	"Hawaii"	"15"	"7"	"7"	367	29.99	6.45	36.21	4.28	36.43	4.56	2791.76	991.40	27.67	6.49	9.60	6.67	53.67	38.19
	"Hawaii"	"15"	"8"	"8"	1713	29.45	6.05	37.89	2.63	38.12	3.00	3144.76	712.05	27.14	6.46	10.23	5.46	53.09	40.81
	"Hawaii"	"15"	"9"	"9"	14196	29.53	5.93	38.62	1.58	38.91	2.18	3260.28	511.72	26.65	6.32	10.42	4.83	50.59	37.60
	"Hawaii"	"15"	"10"	"10"	264	31.28	5.08	39.35	1.38	39.52	2.00	3391.45	506.22	24.11	5.49	11.89	4.87	43.15	29.77
	"Hawaii"	"15"	"Unknown or Not Stated"	"99"	68	31.32	6.28	38.70	1.95	39.26	2.67	3216.85	569.70	24.04	4.60	7.11	5.59	50.59	35.60
	"Idaho"	"16"	"1"	"1"	51	28.12	6.10	32.35	7.68	32.80	8.12	2263.19	1265.33	26.71	6.44	9.46	4.93	57.33	57.20
	"Idaho"	"16"	"2"	"2"	51	28.67	4.64	34.84	7.31	35.18	7.10	2609.43	1284.28	29.24	7.80	10.04	4.45	35.18	19.98
	"Idaho"	"16"	"3"	"3"	35	27.29	5.39	37.03	3.40	37.23	4.03	2894.69	897.79	29.39	8.01	11.23	3.60	45.22	41.22
	"Idaho"	"16"	"4"	"4"	76	29.03	5.64	37.00	3.80	37.00	3.98	2973.63	790.48	28.15	7.47	10.95	3.78	49.95	42.74
	"Idaho"	"16"	"5"	"5"	135	28.58	5.88	36.13	4.43	36.31	4.42	2823.41	961.43	29.03	7.47	10.17	4.22	52.26	43.40
	"Idaho"	"16"	"6"	"6"	304	28.32	6.01	37.06	3.51	37.19	3.74	2989.90	873.56	27.62	7.20	10.92	3.71	48.52	38.96
	"Idaho"	"16"	"7"	"7"	791	28.29	5.80	37.31	3.36	37.60	3.64	3069.99	819.59	27.84	7.08	11.70	3.59	52.78	45.53
	"Idaho"	"16"	"8"	"8"	3580	27.97	5.50	38.19	2.27	38.34	2.68	3220.03	633.91	27.29	6.82	11.67	3.59	45.60	33.12
	"Idaho"	"16"	"9"	"9"	15391	28.08	5.50	38.74	1.46	38.88	2.03	3326.58	498.92	26.76	6.50	11.78	3.39	44.44	31.79
	"Idaho"	"16"	"10"	"10"	866	28.74	5.51	39.13	1.16	39.26	1.70	3415.99	471.48	25.91	6.13	11.27	3.03	41.36	28.26
	"Idaho"	"16"	"Unknown or Not Stated"	"99"	115	29.74	6.36	38.54	3.73	38.58	4.05	3293.35	736.48	25.89	6.72	4.35	5.66	37.64	30.27
	"Illinois"	"17"	"0"	"0"	75	28.83	6.33	31.32	7.95	31.71	8.33	2073.67	1316.21	26.38	5.09	7.37	5.40	51.41	34.53
	"Illinois"	"17"	"1"	"1"	363	28.83	6.14	26.28	7.65	26.58	7.68	1299.32	1229.76	29.06	8.09	5.82	4.32	48.67	42.24
	"Illinois"	"17"	"2"	"2"	204	28.98	5.91	29.75	8.01	30.13	8.03	1803.28	1327.56	29.05	7.29	7.18	5.02	50.53	35.35
	"Illinois"	"17"	"3"	"3"	225	28.67	6.35	33.88	6.60	34.26	6.50	2416.10	1196.81	29.79	7.77	9.76	5.73	52.30	43.88
	"Illinois"	"17"	"4"	"4"	334	29.42	5.95	35.21	5.40	35.38	5.78	2570.07	1105.79	29.10	8.45	9.92	5.37	58.81	45.39
	"Illinois"	"17"	"5"	"5"	562	28.89	6.30	35.06	5.31	35.19	5.42	2568.97	1094.10	29.41	8.05	9.64	4.91	56.65	43.16
	"Illinois"	"17"	"6"	"6"	1058	28.85	6.08	35.59	4.71	35.91	4.90	2685.55	1029.67	29.29	8.16	10.16	5.06	54.14	42.45
	"Illinois"	"17"	"7"	"7"	2248	29.08	6.06	36.21	4.19	36.46	4.36	2817.07	959.41	28.90	7.96	10.45	4.82	53.37	42.04
	"Illinois"	"17"	"8"	"8"	10366	29.14	5.97	37.33	3.12	37.57	3.39	3059.27	796.58	28.51	7.44	10.97	4.47	53.69	40.62
	"Illinois"	"17"	"9"	"9"	126971	29.52	5.74	38.58	1.57	38.73	2.07	3302.15	527.15	27.44	6.76	11.54	4.03	49.68	36.97
	"Illinois"	"17"	"10"	"10"	2134	28.63	5.71	38.83	1.28	39.02	1.97	3379.39	486.31	27.32	6.78	11.81	3.96	46.16	33.78
	"Illinois"	"17"	"Unknown or Not Stated"	"99"	275	28.65	6.28	36.92	4.65	37.16	4.77	2874.48	931.82	25.36	5.24	6.57	5.43	41.69	30.48
	"Indiana"	"18"	"0"	"0"	43	27.77	6.69	31.43	7.83	31.60	8.03	2238.23	1348.18	28.67	8.99	7.49	4.58	48.84	37.19
	"Indiana"	"18"	"1"	"1"	221	27.43	6.27	27.93	7.90	28.12	7.98	1510.27	1319.67	28.74	7.45	6.47	5.24	54.08	45.96
