Average Age of Mother (years),Average Birth Weight (grams),Average Interval Since Last Live Birth (months),Average LMP Gestational Age (weeks),Average Number of Prenatal Visits,Average OE Gestational Age (weeks),Average Pre-pregnancy BMI,Births,Five Minute APGAR Score Code,Five Minute APGAR Score,Notes,Number of Records,Standard Deviation for Average Age of Mother,Standard Deviation for Average Birth Weight,Standard Deviation for Average Interval Since Last Live Birth,Standard Deviation for Average LMP Gestational Age,Standard Deviation for Average Number of Prenatal Visits,Standard Deviation for Average OE Gestational Age,Standard Deviation for Average Pre-pregnancy BMI,State of Residence Code,State of Residence
29.46,2934.19,49.6,37.14,6.15,37.13,27.58,133,99,Unknown or Not Stated,,1,5.93,964.59,40.11,4.99,5.46,4.83,6.86,4,Arizona
26.26,1943.76,53.33,30.94,5.71,30.61,28.96,34,0,0,,1,5.9,1330.87,46.42,8.19,4.14,7.66,7.64,5,Arkansas
25.98,1889.44,40.55,31.03,6.98,30.85,30.03,116,1,1,,1,6.13,1169.23,32.1,7.63,5.12,7.34,7.44,5,Arkansas
26.21,2276.01,49.8,33.17,7.42,32.65,27.76,99,2,2,,1,6.23,1247.86,49.46,7.22,5,7.02,7.86,5,Arkansas
27.42,2461.8,58.26,34.7,8.64,34.43,30.19,130,3,3,,1,6.14,1132.74,54.07,5.14,5.22,5.05,9.53,5,Arkansas
27.35,2626.89,47.66,35.56,8.67,35.34,28.62,185,4,4,,1,6.12,950.07,41.06,5.02,4.63,4.74,7.75,5,Arkansas
27.66,2732.91,55.03,36.1,9.64,35.86,29.13,314,5,5,,1,5.81,959.9,37.29,4.61,4.87,4.29,8.36,5,Arkansas
27.12,2782.69,50.85,36.29,9.21,36.13,29.12,612,6,6,,1,5.86,971.55,40.23,4.42,4.67,4.2,8.08,5,Arkansas
27.08,3007.27,52.49,37.37,9.64,37.17,29.03,1400,7,7,,1,5.81,776.03,39.58,3.54,4.29,3.07,7.83,5,Arkansas
27.15,3198.49,49.99,38.22,10.25,38.01,28.48,6710,8,8,,1,5.7,634.98,37.15,2.68,3.94,2.2,7.43,5,Arkansas
26.97,3280.2,48.66,38.7,10.72,38.52,28.01,26211,9,9,,1,5.61,508.54,35.43,2.13,3.73,1.48,7.29,5,Arkansas
27.29,3338.31,45.96,38.86,10.52,38.73,26.99,1089,10,10,,1,5.4,471.42,35.54,1.87,3.43,1.28,6.77,5,Arkansas
28.39,2794.75,45.32,35.97,6.26,35.97,26.17,118,99,Unknown or Not Stated,,1,5.73,1023.86,35.2,5.35,5.09,5.15,6.58,5,Arkansas
29.78,1981.11,48.97,30.68,8.74,30.56,28.51,138,0,0,,1,6.01,1429.74,35.11,8.09,5.94,8.13,7.44,6,California
30.18,1451.04,62.24,27.43,7.92,27.32,28.19,598,1,1,,1,6.21,1295.21,48.77,7.69,5.11,7.69,7.12,6,California
30.06,2189.54,62.75,32.37,9.85,32.32,27.48,401,2,2,,1,6.34,1339.6,51.5,7.66,5.7,7.7,6.74,6,California
30.07,2507.29,61.25,34.55,10.58,34.43,27.93,468,3,3,,1,6.44,1202.15,44,6.39,5.41,6.38,7.2,6,California
30.34,2582.03,54.88,35.16,10.92,35.01,27.38,650,4,4,,1,6.42,1155.41,45.51,5.71,5.11,5.64,6.79,6,California
30.19,2682.68,62.02,35.64,11.04,35.55,27.81,1241,5,5,,1,6.27,1094.46,46.56,5.33,5.24,5.26,7.07,6,California
30.32,2781.58,62.95,36.2,11.17,36.07,27.61,2589,6,6,,1,6.21,1025.27,48.54,4.83,4.99,4.75,7.09,6,California
30.39,2886.12,60.88,36.63,11.57,36.53,27.66,6258,7,7,,1,6.18,965.49,45.76,4.34,5.11,4.28,6.99,6,California
30.18,3159.86,57.45,37.93,11.85,37.83,27.32,31133,8,8,,1,6.05,753.19,43.06,2.99,4.77,2.93,6.76,6,California
30.01,3314.77,54.27,38.83,11.92,38.74,26.68,401156,9,9,,1,5.89,513.75,39.64,1.71,4.17,1.57,6.29,6,California
30.38,3374.55,48.28,39.04,11.73,38.96,25.94,7257,10,10,,1,5.61,483.21,34.79,1.52,3.95,1.34,5.97,6,California
30.32,3185.86,46.98,38.14,10.87,38.07,25.84,3031,99,Unknown or Not Stated,,1,5.92,767.2,36.09,3.74,5.1,3.63,6.44,6,California
28.29,1909.13,60.38,29.12,6.12,28.76,26.45,17,0,0,,1,6.53,1384.45,57.49,8.4,4.04,7.98,9.15,8,Colorado
28.58,1603.75,46.2,28.68,6.15,28.59,27.68,111,1,1,,1,5.9,1281.5,50.84,7.83,4.67,8.1,8.5,8,Colorado
28.75,2330.09,61.07,33.46,9.53,33.31,27.97,81,2,2,,1,6.1,1264.48,55.29,7.4,5.9,7.3,6.82,8,Colorado
29.93,2564.39,60,34.93,9.38,34.86,28,72,3,3,,1,5.62,1162.33,38.28,6.45,5.18,6.25,7.4,8,Colorado
28.67,2658.5,54.78,36.47,9.56,36.07,27.52,135,4,4,,1,6.17,1005.93,39.49,5.49,4.64,5.21,7.05,8,Colorado
29.37,2723.47,50.83,36.69,10.42,36.39,26.75,246,5,5,,1,5.82,953.8,38.03,4.84,4.76,4.65,6.71,8,Colorado
29.65,2846.78,47.61,36.82,10.25,36.73,27.32,507,6,6,,1,6.12,898.3,41.7,4.2,4.48,4.11,6.79,8,Colorado
29.37,2890.21,50.83,37.23,10.13,37.11,27.14,1548,7,7,,1,5.99,853.12,41.66,3.91,4.34,3.74,6.48,8,Colorado
29.68,3116.07,48.4,38.2,10.46,38.12,26.55,10137,8,8,,1,5.8,647.9,36.11,2.77,4.1,2.46,6.31,8,Colorado
29.49,3221.67,48.4,38.83,10.58,38.77,26.24,48907,9,9,,1,5.67,492.85,35.38,1.94,3.88,1.54,6.09,8,Colorado
29.68,3294.14,43.23,39.12,10.83,39.06,25.55,849,10,10,,1,5.61,465.49,30.48,1.78,3.58,1.36,5.84,8,Colorado
29.3,2957.65,45.34,37.11,6.48,37.06,26.85,275,99,Unknown or Not Stated,,1,5.94,778.33,39.78,4.73,6.04,4.73,6.27,8,Colorado
29.25,1994.45,73,31.67,8.4,31.67,29.58,12,0,0,,1,5.05,1075.97,35.08,8.4,4.41,8.23,7.86,9,Connecticut
29.68,1155.09,67.75,25.23,6.5,24.97,27.93,62,1,1,,1,5.88,1214.86,47.33,7.46,4.4,7.52,5.5,9,Connecticut
28.49,2506.91,83.2,32.84,10.24,32.38,28.89,37,2,2,,1,6.48,1417.93,81.02,8.6,5.58,8.14,6.83,9,Connecticut
30.85,2304.07,82.56,33.93,11.19,33.93,27.72,46,3,3,,1,5.61,1181.21,58.91,6.02,5.98,6,6.29,9,Connecticut
30.8,2626.51,70.76,36.22,11.35,35.64,28.21,76,4,4,,1,5.08,1048.79,55.59,5.57,4.34,5.48,7.19,9,Connecticut
30.41,2754.62,57.84,36.31,11.9,35.87,28.68,133,5,5,,1,6.25,1083.92,51.21,5.18,4.81,5.13,7.24,9,Connecticut
30.56,2821.99,61.91,36.61,11.54,36.34,29.13,234,6,6,,1,6.61,1011.1,49.77,4.86,4.76,4.79,7.77,9,Connecticut
30.43,2961.2,57.43,37.18,11.7,36.95,28.4,540,7,7,,1,6.07,925.04,43.7,4.36,4.2,4.01,7.35,9,Connecticut
30.5,3188.93,53.97,38.17,12.44,37.98,27.39,3287,8,8,,1,5.6,717.19,39.54,3.02,4.14,2.69,6.72,9,Connecticut
30.49,3324.54,53.59,38.91,12.51,38.73,26.74,30026,9,9,,1,5.53,530.88,39.99,2.05,3.78,1.64,6.42,9,Connecticut
31.86,3440.21,45.09,39.46,12.16,39.19,26.39,226,10,10,,1,4.71,496.9,36.28,1.88,2.82,1.26,6.51,9,Connecticut
29.5,2755.72,55.88,36.53,9.93,36.27,25.94,46,99,Unknown or Not Stated,,1,5.04,965.54,38.64,4.53,4.44,4.45,6.96,9,Connecticut
29.82,1363.1,42.9,28.14,6.86,28.23,28.83,22,1,1,,1,5.98,1221.92,27.58,8.32,5.08,8.37,7.11,10,Delaware
30.21,2434.43,41.8,32.93,9.43,33.86,29.9,14,2,2,,1,8.28,945.04,24.75,6.27,5,5.93,8.61,10,Delaware
29.29,2553.43,53.55,35.86,8.74,35.79,30.97,28,3,3,,1,6.4,973.54,35.47,4.61,5.78,4.45,9.34,10,Delaware
28.43,2169.89,42.3,34.35,8.37,34.27,26.09,37,4,4,,1,5.44,1131.24,27.94,6.59,4.55,6.42,6.42,10,Delaware
29.15,2576.56,60.36,36,10.08,35.51,30.68,55,5,5,,1,6.79,1016.27,42.04,5.39,4.57,5.04,8.08,10,Delaware
29.89,2784.31,63.36,36.67,9.14,36.29,29.35,97,6,6,,1,6.29,902.78,51.82,4.71,4.22,4.33,7.85,10,Delaware
29.42,2818.13,58.56,36.5,9.2,36.39,29.82,206,7,7,,1,6.14,931.42,43.48,4.32,4.19,4.08,8.45,10,Delaware
28.81,3153.12,56.57,38,10.26,37.79,28.78,966,8,8,,1,5.74,744.83,43.84,3.1,4.1,2.69,7.7,10,Delaware
28.98,3291.74,52.28,38.84,10.45,38.66,27.4,9019,9,9,,1,5.66,531.47,37.31,2.23,3.8,1.59,6.89,10,Delaware
29.87,3417.24,52.65,39.14,10.73,39.09,26.23,134,10,10,,1,5.99,443.44,41.75,1.46,3.29,1.06,6.32,10,Delaware
28.17,2746.58,46.81,34.54,6.29,35.12,27.99,41,99,Unknown or Not Stated,,1,5.03,941.42,41.98,6.37,4.9,6.25,6.47,10,Delaware
28.13,942.36,31.25,25.79,5.29,25,27.91,15,1,1,,1,6.37,1092.69,4.6,7.25,4.6,7.06,4.43,11,District of Columbia
29.75,1700.18,86,28.92,4.91,28.75,28.5,12,2,2,,1,4.97,1055.39,51.27,6.24,3.23,6.26,8.26,11,District of Columbia
30.35,1954.41,111.5,30.82,8.2,30.82,26.05,17,3,3,,1,6.92,1399.91,80.59,7.76,4.37,7.71,4.19,11,District of Columbia
28.26,2662.16,38.44,35.53,9.83,35.37,25.86,19,4,4,,1,4.63,1337.39,30.01,5.75,5.01,5.86,6.5,11,District of Columbia
28.72,2385.06,53.2,34.06,7.07,34.38,26.81,32,5,5,,1,8.04,1134.61,32.11,6.82,3.87,5.91,6.99,11,District of Columbia
29.35,2500.3,65.52,35.24,8.03,35.01,29.07,71,6,6,,1,6.08,1038.06,37.88,5.44,4.4,5.16,7.49,11,District of Columbia
30.77,2575.76,51.28,35.5,8.93,35.4,27.11,154,7,7,,1,6.29,1029.55,42.02,5.04,4.43,4.87,7.75,11,District of Columbia
31.2,3026.41,53.66,37.67,10.11,37.65,26.62,661,8,8,,1,5.97,789.69,39.08,3.39,3.95,3.11,6.72,11,District of Columbia
30.85,3252.88,51.46,38.77,10.38,38.76,25.77,8140,9,9,,1,6.1,531.17,37.25,2.04,3.97,1.69,6.36,11,District of Columbia
32.53,3171,49.3,38.63,11.45,38.37,24.78,57,10,10,,1,5,544.97,43.26,2.88,4.11,2.24,6.93,11,District of Columbia
28.72,2787.48,46.59,36.5,6.29,36.54,24.93,29,99,Unknown or Not Stated,,1,6.49,936.04,23.41,5.89,4.94,5.78,4.61,11,District of Columbia
28.55,2047.76,55.79,30.81,6.84,30.58,28.82,74,0,0,,1,5.77,1339.84,40.08,7.36,5.53,7.21,7.17,12,Florida
28.64,1510.62,60.33,28.62,6.67,28.19,28.06,516,1,1,,1,6.05,1268.86,51.43,7.7,4.85,7.6,7.59,12,Florida
29.26,2223.37,63.03,33,8.43,32.59,28.52,359,2,2,,1,6.05,1324.77,49.2,6.96,4.55,6.97,7.85,12,Florida
28.75,2306.21,64.1,33.61,8.45,33.4,28.04,461,3,3,,1,6.22,1222.07,54.82,6.57,4.6,6.46,7.45,12,Florida
28.79,2570.91,65.9,35.22,8.95,34.91,28.52,540,4,4,,1,6.23,1121.31,50.95,5.7,4.68,5.53,7.49,12,Florida
28.83,2573.52,59.37,35.24,9.33,34.94,28.19,891,5,5,,1,6.1,1117.6,48.5,5.3,4.57,5.1,7.24,12,Florida
29.21,2656.1,61.71,35.72,9.53,35.5,27.86,1574,6,6,,1,6.41,1055.52,49.35,5.11,4.5,4.91,7.42,12,Florida
28.91,2862.69,60.31,36.75,9.86,36.46,27.62,3988,7,7,,1,6.05,947.7,46.73,4.41,4.47,4.14,7.16,12,Florida
29.07,3131.94,56.47,37.98,10.45,37.78,27.45,22910,8,8,,1,5.92,721.38,42.89,3.09,4.31,2.74,6.92,12,Florida
29.15,3278.85,54.19,38.71,10.83,38.58,26.75,186183,9,9,,1,5.78,521.57,40.68,2.16,4.01,1.58,6.47,12,Florida
29.68,3402.58,47.15,39.18,11.09,39.05,25.54,3134,10,10,,1,5.43,469.86,34.88,1.85,3.64,1.31,5.86,12,Florida
28.88,2852.21,46.52,36.66,7.13,36.62,26.5,912,99,Unknown or Not Stated,,1,5.95,920.96,39.26,5.26,5.57,5.02,6.36,12,Florida
27.34,1946.3,53.24,31.87,8.69,31.61,31.44,62,0,0,,1,6.29,1183.7,43.25,7.35,5.86,6.8,9.11,13,Georgia
28.58,1445.9,59.88,28.31,7.36,27.71,29.23,366,1,1,,1,6.37,1215.77,51.85,7.85,5.87,7.69,7.83,13,Georgia
28.32,2038.88,57.49,32.24,9.28,31.74,29.81,285,2,2,,1,6.21,1309.11,42.89,7.37,6.33,7.2,8.39,13,Georgia
28.41,2310.44,55.02,34.04,9.1,33.49,28.57,239,3,3,,1,5.78,1171.36,46.66,6.32,5.71,6.13,7.62,13,Georgia
28.6,2384.67,60.81,34.37,9.36,34.04,29.95,312,4,4,,1,6.28,1128.42,45.34,6.16,5.73,5.79,8.08,13,Georgia
28.15,2547.24,59.08,35.26,9.76,34.68,28.82,524,5,5,,1,6.14,1107.7,48.31,5.45,5.35,5.26,7.87,13,Georgia
28,2669.34,60.76,35.95,10.23,35.55,29.31,898,6,6,,1,6.11,1028.68,49.82,5.01,5.64,4.82,8.59,13,Georgia
28.06,2847.37,56.09,36.75,10.69,36.36,28.97,2396,7,7,,1,6.23,950.15,42.66,4.45,5.38,4.17,7.88,13,Georgia
28.32,3111.74,52.25,38.13,10.95,37.82,28.17,15374,8,8,,1,5.96,692.79,40.32,3.04,5.38,2.62,7.35,13,Georgia
28.45,3241.23,51.91,38.64,11.51,38.49,27.46,103403,9,9,,1,5.86,540.28,38.96,2.32,4.72,1.69,6.93,13,Georgia
28.37,3305.85,47.72,38.98,10.71,38.75,26.95,2002,10,10,,1,5.71,503.39,35.46,2.13,3.91,1.42,6.82,13,Georgia
28.26,2718.69,47.48,36.64,6.53,36.46,27.19,311,99,Unknown or Not Stated,,1,6.22,903.21,38.71,5.03,5.77,4.82,7.29,13,Georgia
27.57,2187.25,38.71,32.29,7.21,32.86,24.84,14,0,0,,1,5.96,1155.66,30.56,7.81,7.26,8.11,7.05,15,Hawaii
30.25,1454.35,57.91,27.36,5.73,26.75,26.93,28,1,1,,1,6.38,1392.42,62.78,8.25,4.04,8.3,5.58,15,Hawaii
27.88,2653.68,58.22,35.36,7.17,35,25.92,25,2,2,,1,5.91,1151.81,37.87,7.62,5.01,6.84,5.36,15,Hawaii
29.48,2022.83,43.08,32.76,8,32.79,26.1,29,3,3,,1,5.76,1162.55,24.92,6.6,5.5,6.71,5.4,15,Hawaii
29.45,2513.55,62.17,34.61,8.06,34.45,28.41,38,4,4,,1,5.18,1281.14,43.02,6.85,4.93,6.87,6.69,15,Hawaii
29.81,2804.87,52.73,35.95,9.05,35.39,28.98,62,5,5,,1,6.5,1085.72,29.66,5.49,5.98,5.38,7.25,15,Hawaii
29.77,2694.08,63.13,36.79,9.33,36.12,26.66,168,6,6,,1,6.67,1001.95,50.23,5.04,5.74,4.66,6.59,15,Hawaii
29.99,2791.76,53.67,36.43,9.6,36.21,27.67,367,7,7,,1,6.45,991.4,38.19,4.56,6.67,4.28,6.49,15,Hawaii
29.45,3144.76,53.09,38.12,10.23,37.89,27.14,1713,8,8,,1,6.05,712.05,40.81,3,5.46,2.63,6.46,15,Hawaii
29.53,3260.28,50.59,38.91,10.42,38.62,26.65,14196,9,9,,1,5.93,511.72,37.6,2.18,4.83,1.58,6.32,15,Hawaii
31.28,3391.45,43.15,39.52,11.89,39.35,24.11,264,10,10,,1,5.08,506.22,29.77,2,4.87,1.38,5.49,15,Hawaii
31.32,3216.85,50.59,39.26,7.11,38.7,24.04,68,99,Unknown or Not Stated,,1,6.28,569.7,35.6,2.67,5.59,1.95,4.6,15,Hawaii
28.12,2263.19,57.33,32.8,9.46,32.35,26.71,51,1,1,,1,6.1,1265.33,57.2,8.12,4.93,7.68,6.44,16,Idaho
28.67,2609.43,35.18,35.18,10.04,34.84,29.24,51,2,2,,1,4.64,1284.28,19.98,7.1,4.45,7.31,7.8,16,Idaho
27.29,2894.69,45.22,37.23,11.23,37.03,29.39,35,3,3,,1,5.39,897.79,41.22,4.03,3.6,3.4,8.01,16,Idaho
29.03,2973.63,49.95,37,10.95,37,28.15,76,4,4,,1,5.64,790.48,42.74,3.98,3.78,3.8,7.47,16,Idaho
28.58,2823.41,52.26,36.31,10.17,36.13,29.03,135,5,5,,1,5.88,961.43,43.4,4.42,4.22,4.43,7.47,16,Idaho
28.32,2989.9,48.52,37.19,10.92,37.06,27.62,304,6,6,,1,6.01,873.56,38.96,3.74,3.71,3.51,7.2,16,Idaho
28.29,3069.99,52.78,37.6,11.7,37.31,27.84,791,7,7,,1,5.8,819.59,45.53,3.64,3.59,3.36,7.08,16,Idaho
27.97,3220.03,45.6,38.34,11.67,38.19,27.29,3580,8,8,,1,5.5,633.91,33.12,2.68,3.59,2.27,6.82,16,Idaho
28.08,3326.58,44.44,38.88,11.78,38.74,26.76,15391,9,9,,1,5.5,498.92,31.79,2.03,3.39,1.46,6.5,16,Idaho
28.74,3415.99,41.36,39.26,11.27,39.13,25.91,866,10,10,,1,5.51,471.48,28.26,1.7,3.03,1.16,6.13,16,Idaho
29.74,3293.35,37.64,38.58,4.35,38.54,25.89,115,99,Unknown or Not Stated,,1,6.36,736.48,30.27,4.05,5.66,3.73,6.72,16,Idaho
28.83,2073.67,51.41,31.71,7.37,31.32,26.38,75,0,0,,1,6.33,1316.21,34.53,8.33,5.4,7.95,5.09,17,Illinois
28.83,1299.32,48.67,26.58,5.82,26.28,29.06,363,1,1,,1,6.14,1229.76,42.24,7.68,4.32,7.65,8.09,17,Illinois
28.98,1803.28,50.53,30.13,7.18,29.75,29.05,204,2,2,,1,5.91,1327.56,35.35,8.03,5.02,8.01,7.29,17,Illinois
28.67,2416.1,52.3,34.26,9.76,33.88,29.79,225,3,3,,1,6.35,1196.81,43.88,6.5,5.73,6.6,7.77,17,Illinois
29.42,2570.07,58.81,35.38,9.92,35.21,29.1,334,4,4,,1,5.95,1105.79,45.39,5.78,5.37,5.4,8.45,17,Illinois
28.89,2568.97,56.65,35.19,9.64,35.06,29.41,562,5,5,,1,6.3,1094.1,43.16,5.42,4.91,5.31,8.05,17,Illinois
28.85,2685.55,54.14,35.91,10.16,35.59,29.29,1058,6,6,,1,6.08,1029.67,42.45,4.9,5.06,4.71,8.16,17,Illinois
29.08,2817.07,53.37,36.46,10.45,36.21,28.9,2248,7,7,,1,6.06,959.41,42.04,4.36,4.82,4.19,7.96,17,Illinois
29.14,3059.27,53.69,37.57,10.97,37.33,28.51,10366,8,8,,1,5.97,796.58,40.62,3.39,4.47,3.12,7.44,17,Illinois
29.52,3302.15,49.68,38.73,11.54,38.58,27.44,126971,9,9,,1,5.74,527.15,36.97,2.07,4.03,1.57,6.76,17,Illinois
28.63,3379.39,46.16,39.02,11.81,38.83,27.32,2134,10,10,,1,5.71,486.31,33.78,1.97,3.96,1.28,6.78,17,Illinois
28.65,2874.48,41.69,37.16,6.57,36.92,25.36,275,99,Unknown or Not Stated,,1,6.28,931.82,30.48,4.77,5.43,4.65,5.24,17,Illinois
27.77,2238.23,48.84,31.6,7.49,31.43,28.67,43,0,0,,1,6.69,1348.18,37.19,8.03,4.58,7.83,8.99,18,Indiana
27.43,1510.27,54.08,28.12,6.47,27.93,28.74,221,1,1,,1,6.27,1319.67,45.96,7.98,5.24,7.9,7.45,18,Indiana
27.12,2270.21,47,32.98,8.84,32.76,28.92,184,2,2,,1,6.13,1300.38,39.41,7.38,4.93,7.34,7.62,18,Indiana
27.41,2360.39,48.47,34.4,9.35,34.22,29.01,193,3,3,,1,5.37,1122.3,36.09,6.06,6.02,5.86,7.74,18,Indiana
27.4,2550.55,48.11,34.76,10.08,34.77,29.89,242,4,4,,1,5.68,1083.18,36.13,5.52,4.94,5.28,8.39,18,Indiana
28.19,2809.72,50.3,36.22,10.44,36.06,28.74,459,5,5,,1,5.87,968.97,37.57,4.68,4.72,4.47,8.04,18,Indiana
27.48,2870.55,50.86,36.61,10.5,36.39,28.97,930,6,6,,1,5.97,952.08,36.96,4.27,4.7,4.19,8.28,18,Indiana
27.7,2948.53,52.02,37,10.72,36.84,28.77,2084,7,7,,1,5.73,874.88,40.98,3.78,4.42,3.63,7.83,18,Indiana
27.92,3197.24,48.28,38.04,11.21,37.92,28.68,8739,8,8,,1,5.67,697.16,36.48,2.81,4.08,2.53,7.58,18,Indiana
27.9,3326.07,46.87,38.77,11.42,38.66,27.79,66271,9,9,,1,5.57,522.8,34.53,1.91,3.75,1.55,7.1,18,Indiana
28.01,3393.11,39.88,39.07,10.97,38.97,26.57,1973,10,10,,1,5.54,476.6,28.45,1.75,3.63,1.28,6.58,18,Indiana
28.43,2952.66,39,36.91,6.74,36.72,25.97,307,99,Unknown or Not Stated,,1,5.82,926.41,29.53,5.3,5.34,5.13,6.55,18,Indiana
29.6,2023.44,40.5,29.89,7.2,29.33,33.52,10,0,0,,1,5.5,1518.48,24.26,7.48,4.62,7.82,9.58,19,Iowa
27.96,1555.66,40.15,27.85,6.75,27.33,28.78,56,1,1,,1,6.5,1287.66,21.11,8.72,4.58,8.19,7.62,19,Iowa
26.39,2745.89,53.71,34.84,10.46,34.72,30.98,57,2,2,,1,5.49,1267.12,47.95,6.94,4.65,6.59,8.47,19,Iowa
28.85,2748.38,54.9,35.97,10.62,35.6,29.38,65,3,3,,1,5.59,985.13,38.91,5.24,4.56,4.97,9.49,19,Iowa
