Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
2016,2016 Annual,"Dedicated HC Provider - $25-$49,999",Ohio,15,84,0.78,86.8,81.3,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,"Dedicated HC Provider - $50-$74,999",Ohio,17,86.3,0.55,89.2,83.3,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,"Dedicated HC Provider - $75,000 or More",Ohio,16,88.9,0.35,91.1,86.8,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Dedicated HC Provider - 18-44,Ohio,19,70.4,0.51,73.1,67.8,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Dedicated HC Provider - 45-64,Ohio,18,88,0.48,89.7,86.4,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Dedicated HC Provider - 65+,Ohio,7,96.1,0.64,96.9,95.3,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Dedicated HC Provider - American Indian/Alaskan Native,Ohio,0,90.4,0,99.8,81,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Dedicated HC Provider - Asian,Ohio,0,66.3,0,80.4,52.2,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Dedicated HC Provider - Black,Ohio,0,75.2,0,80.3,70.1,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Dedicated HC Provider - College Grad,Ohio,22,86.7,0.21,88.6,84.7,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Dedicated HC Provider - Female,Ohio,19,87.1,0.64,88.7,85.5,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Dedicated HC Provider - Hawaiian/Pacific Islander,Ohio,0,,0,0,0,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Dedicated HC Provider - High School Grad,Ohio,13,84.8,0.72,86.8,82.7,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Dedicated HC Provider - Hispanic,Ohio,0,62.1,0,73.4,50.8,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,"Dedicated HC Provider - Less than $25,000",Ohio,23,76.7,0.58,80,73.4,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Dedicated HC Provider - Less than High School,Ohio,22,73.4,0.5,79.2,67.6,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Dedicated HC Provider - Male,Ohio,17,76.5,0.53,78.6,74.3,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Dedicated HC Provider - Rural,Ohio,0,89.4,0,91.2,87.7,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Dedicated HC Provider - Some College,Ohio,15,86.6,0.76,88.7,84.4,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Dedicated HC Provider - Suburban,Ohio,14,90.9,0.27,93,88.9,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Dedicated HC Provider - Urban,Ohio,14,90.2,0.55,91.9,88.6,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Dedicated HC Provider - White,Ohio,16,84.2,0.22,85.6,82.8,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Dedicated Health Care Provider,Ohio,16,82,0.51,83.3,80.6,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,"Dental Visit - $25-$49,999",Ohio,30,59.3,-0.44,62.4,56.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,"Dental Visit - $50-$74,999",Ohio,10,75.8,0.94,79.1,72.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,"Dental Visit - $75,000 or More",Ohio,22,82.8,0.28,85.3,80.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,Dental Visit - Ages 18-44,Ohio,18,65,0.56,67.6,62.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,Dental Visit - Ages 45-64,Ohio,33,66.7,0.05,68.8,64.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,Dental Visit - Ages 65+,Ohio,31,63.7,-0.32,66,61.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,Dental Visit - American Indian/Alaskan Native,Ohio,,51.7,,77.4,25.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,Dental Visit - Asian,Ohio,,58.8,,71.8,45.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,Dental Visit - Black,Ohio,,60.4,,65.7,55.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,Dental Visit - College Grad,Ohio,14,82.7,0.95,84.6,80.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,Dental Visit - Female,Ohio,24,68.6,0.27,70.4,66.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,Dental Visit - Hawaiian/Pacific Islander,Ohio,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,Dental Visit - High School Grad,Ohio,28,57.6,-0.04,60.1,55.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,Dental Visit - Hispanic,Ohio,,68.5,,78.3,58.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,"Dental Visit - Less Than $25,000",Ohio,18,45.7,0.38,48.8,42.5,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,Dental Visit - Less than High School,Ohio,21,41.5,0.07,47.2,35.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,Dental Visit - Male,Ohio,27,61.9,0.06,64.1,59.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,Dental Visit - Rural,Ohio,,60.6,,63.6,57.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,Dental Visit - Some College,Ohio,25,66.7,0.19,69.5,63.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,Dental Visit - Suburban,Ohio,,73.1,,75.7,70.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,Dental Visit - Urban,Ohio,31,67.8,-0.04,70.6,65.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,Dental Visit - White,Ohio,29,66.6,-0.33,68.2,65.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,"Dental Visit, Annual",Ohio,25,65.3,0,66.8,63.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2016,2016 Annual,Dentists,Ohio,32,52.3,-0.79,,,American Dental Association,2015
2016,2016 Annual,Diabetes,Ohio,34,11,0.58,11.8,10.2,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,"Diabetes - $25-$49,999",Ohio,39,14.2,0.92,16.1,12.4,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,"Diabetes - $50-$74,999",Ohio,30,10.1,-0.05,12.3,8,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,"Diabetes - $75,000 or More",Ohio,36,7.5,0.27,8.9,6.1,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Diabetes - Ages 18-44,Ohio,8,2,-0.9,2.6,1.3,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Diabetes - Ages 45-64,Ohio,37,15.1,0.41,16.7,13.5,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Diabetes - Ages 65+,Ohio,35,23.3,0.2,25.2,21.5,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Diabetes - American Indian/Alaskan Native,Ohio,,41.7,,75.8,7.6,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Diabetes - Asian,Ohio,,1.5,,3.7,-0.7,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Diabetes - Black,Ohio,,14.1,,17.3,10.9,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Diabetes - College Grad,Ohio,28,7.4,0.13,8.5,6.3,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Diabetes - Female,Ohio,33,10.7,0.34,11.7,9.7,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Diabetes - Hawaiian/Pacific Islander,Ohio,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Diabetes - High School Grad,Ohio,45,15.2,0.78,16.8,13.5,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Diabetes - Hispanic,Ohio,,8.4,,12.8,3.9,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,"Diabetes - Less Than $25,000",Ohio,27,17,-0.23,19.3,14.6,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Diabetes - Less than High School,Ohio,15,16.3,-0.57,19.9,12.8,"CDC, Behavioral Risk Factor Surveillance System",2015
2016,2016 Annual,Diabetes - Male,Ohio,35,11.4,0.27,12.6,10.2,"CDC, Behavioral Risk Factor Surveillance System",2015
