Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
2015,2015 Annual,Binge Drinking - Less than High School,Ohio,24,12.9,0.03,17.4,8.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Binge Drinking - Male,Ohio,40,24.1,0.79,26.2,22,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Binge Drinking - Rural,Ohio,,12,,14,10,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Binge Drinking - Some College,Ohio,41,17.7,0.83,20.2,15.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Binge Drinking - Suburban,Ohio,,13.5,,15.7,11.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Binge Drinking - Urban,Ohio,14,9.9,-0.3,11.8,8.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Binge Drinking - White,Ohio,40,18.8,0.63,20.2,17.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Cancer Deaths,Ohio,41,207.6,1.02,209.1,206.1,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2011-2013
2015,2015 Annual,Cancer Deaths - American Indian/Alaska Native,Ohio,,45.6,,63.4,31.7,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2011-2013
2015,2015 Annual,Cancer Deaths - Asian/Pacific Islander,Ohio,,102.8,,113.7,92,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2011-2013
2015,2015 Annual,Cancer Deaths - Black/African American,Ohio,,236.2,,241.3,231,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2011-2013
2015,2015 Annual,Cancer Deaths - Crude Rate,Ohio,44,223.1,1.14,224.7,221.5,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2011-2013
2015,2015 Annual,Cancer Deaths - Female,Ohio,,177.6,,179.5,175.8,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2011-2013
2015,2015 Annual,Cancer Deaths - Hispanic/Latino,Ohio,,106.3,,116,96.5,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2011-2013
2015,2015 Annual,Cancer Deaths - Male,Ohio,,250.1,,252.6,247.7,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2011-2013
2015,2015 Annual,Cancer Deaths - Standard Age Adjustment,Ohio,41,186.4,1.05,187.7,185.1,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2011-2013
2015,2015 Annual,Cancer Deaths - White,Ohio,,206.1,,207.7,204.6,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2011-2013
2015,2015 Annual,Cardiovascular Deaths,Ohio,40,276.1,0.68,277.8,274.4,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2011-2013
2015,2015 Annual,Cardiovascular Deaths - American Indian/Alaska Native,Ohio,,87.5,,113.6,66.1,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2011-2013
2015,2015 Annual,Cardiovascular Deaths - Asian/Pacific Islander,Ohio,,136.3,,150.5,122,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2011-2013
2015,2015 Annual,Cardiovascular Deaths - Black/African American,Ohio,,329.5,,335.6,323.3,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2011-2013
2015,2015 Annual,Cardiovascular Deaths - Female,Ohio,,231,,232.9,229,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2011-2013
2015,2015 Annual,Cardiovascular Deaths - Hispanic/Latino,Ohio,,148.7,,160.7,136.7,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2011-2013
2015,2015 Annual,Cardiovascular Deaths - Male,Ohio,,333.1,,336,330.2,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2011-2013
2015,2015 Annual,Cardiovascular Deaths - White,Ohio,,271.2,,272.9,269.5,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2011-2013
2015,2015 Annual,Children in Poverty,Ohio,32,22.1,0.047,25.6,18.6,"U.S. Census Bureau, Current Population Survey, Annual Social and Economic Supplement",2014
2015,2015 Annual,Children in Poverty,Ohio,36,22.9,0.25,,,"U.S. Census Bureau, American Community Survey",2014
2015,2015 Annual,Chlamydia,Ohio,32,460.2,0.13,,,"CDC, National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention Atlas",2013
2015,2015 Annual,Chlamydia - American Indian/Alaska Native,Ohio,,107.5,,,,"CDC, National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention Atlas",2013
2015,2015 Annual,Chlamydia - Asian,Ohio,,81.2,,,,"CDC, National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention Atlas",2013
2015,2015 Annual,Chlamydia - Black/African American,Ohio,,1348.3,,,,"CDC, National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention Atlas",2013
2015,2015 Annual,Chlamydia - Female,Ohio,,648.9,,,,"CDC, National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention Atlas",2013
2015,2015 Annual,Chlamydia - Hispanic/Latino,Ohio,,254.8,,,,"CDC, National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention Atlas",2013
2015,2015 Annual,Chlamydia - Male,Ohio,,262.8,,,,"CDC, National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention Atlas",2013
2015,2015 Annual,Chlamydia - White,Ohio,,167.8,,,,"CDC, National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention Atlas",2013
2015,2015 Annual,Cholesterol Check,Ohio,18,78.2,0.49,79.4,77,"CDC, Behavioral Risk Factor Surveillance System",2013
2015,2015 Annual,"Cholesterol Check - $25-$49,999",Ohio,19,81.5,0.16,83.9,79,"CDC, Behavioral Risk Factor Surveillance System",2013
2015,2015 Annual,"Cholesterol Check - $50-$74,999",Ohio,20,85.8,0.15,88.3,83.2,"CDC, Behavioral Risk Factor Surveillance System",2013
2015,2015 Annual,"Cholesterol Check - $75,000 or More",Ohio,25,88.7,-0.35,90.7,86.7,"CDC, Behavioral Risk Factor Surveillance System",2013
2015,2015 Annual,Cholesterol Check - Ages 18-44,Ohio,18,61.1,-0.04,63.5,58.7,"CDC, Behavioral Risk Factor Surveillance System",2013
2015,2015 Annual,Cholesterol Check - Ages 45-64,Ohio,17,89.1,0.3,90.3,87.9,"CDC, Behavioral Risk Factor Surveillance System",2013
2015,2015 Annual,Cholesterol Check - Ages 65+,Ohio,25,95.4,0.09,96.4,94.4,"CDC, Behavioral Risk Factor Surveillance System",2013
2015,2015 Annual,Cholesterol Check - American Indian/Alaskan Native,Ohio,0,78.1,0,92.7,63.4,"CDC, Behavioral Risk Factor Surveillance System",2013
2015,2015 Annual,Cholesterol Check - Asian,Ohio,0,58.1,0,71.5,44.7,"CDC, Behavioral Risk Factor Surveillance System",2013
2015,2015 Annual,Cholesterol Check - Black,Ohio,0,74.4,0,78.8,70.1,"CDC, Behavioral Risk Factor Surveillance System",2013
2015,2015 Annual,Cholesterol Check - College Grad,Ohio,26,87.3,-0.23,88.9,85.7,"CDC, Behavioral Risk Factor Surveillance System",2013
2015,2015 Annual,Cholesterol Check - Female,Ohio,19,80.2,0.14,81.9,78.6,"CDC, Behavioral Risk Factor Surveillance System",2013
2015,2015 Annual,Cholesterol Check - Hawaiian/Pacific Islander,Ohio,0,,0,0,0,"CDC, Behavioral Risk Factor Surveillance System",2013
2015,2015 Annual,Cholesterol Check - High School Grad,Ohio,13,82.6,0.47,84.4,80.8,"CDC, Behavioral Risk Factor Surveillance System",2013
2015,2015 Annual,Cholesterol Check - Hispanic,Ohio,0,62.6,0,72.5,52.7,"CDC, Behavioral Risk Factor Surveillance System",2013
2015,2015 Annual,"Cholesterol Check - Less than $25,000",Ohio,15,76.9,0.73,79.3,74.4,"CDC, Behavioral Risk Factor Surveillance System",2013
2015,2015 Annual,Cholesterol Check - Less than High School,Ohio,19,74.7,0.54,79.6,69.8,"CDC, Behavioral Risk Factor Surveillance System",2013
2015,2015 Annual,Cholesterol Check - Male,Ohio,17,76.1,0.42,77.9,74.2,"CDC, Behavioral Risk Factor Surveillance System",2013
2015,2015 Annual,Cholesterol Check - Rural,Ohio,0,85.1,0,87.7,82.5,"CDC, Behavioral Risk Factor Surveillance System",2013
2015,2015 Annual,Cholesterol Check - Some College,Ohio,18,84.4,0.14,86.4,82.4,"CDC, Behavioral Risk Factor Surveillance System",2013
2015,2015 Annual,Cholesterol Check - Suburban,Ohio,14,88.2,0.37,89.8,86.5,"CDC, Behavioral Risk Factor Surveillance System",2013
2015,2015 Annual,Cholesterol Check - Urban,Ohio,15,87.8,0.56,90.1,85.5,"CDC, Behavioral Risk Factor Surveillance System",2013
2015,2015 Annual,Cholesterol Check - White,Ohio,24,79.6,-0.24,80.9,78.3,"CDC, Behavioral Risk Factor Surveillance System",2013
2015,2015 Annual,Chronic Drinking,Ohio,31,6.4,0.41,7.2,5.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Chronic Drinking - $25-$49,999",Ohio,25,5.7,0.07,7.4,4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Chronic Drinking - $50-$74,999",Ohio,14,5.4,-0.51,7.6,3.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Chronic Drinking - $75,000 or More",Ohio,31,7.2,0.12,8.8,5.5,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Chronic Drinking - Ages 18-44,Ohio,42,8.1,1.16,9.7,6.5,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Chronic Drinking - Ages 45-64,Ohio,29,6.2,0.21,7.4,5.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Chronic Drinking - Ages 65+,Ohio,13,3,-0.7,3.9,2.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Chronic Drinking - American Indian/Alaskan Native,Ohio,,23.3,,54.7,-8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Chronic Drinking - Asian,Ohio,,6.8,,17.3,-3.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Chronic Drinking - Black,Ohio,,5.5,,8.4,2.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Chronic Drinking - College Grad,Ohio,14,5,-0.38,6.1,3.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Chronic Drinking - Female,Ohio,22,5.2,0,6.2,4.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Chronic Drinking - Hawaiian/Pacific Islander,Ohio,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Chronic Drinking - High School Grad,Ohio,31,5.8,0.21,7,4.5,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Chronic Drinking - Hispanic,Ohio,,5.9,,10.3,1.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Chronic Drinking - Less Than $25,000",Ohio,40,5.8,0.81,7.4,4.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Chronic Drinking - Less than High School,Ohio,39,6.2,0.74,9.7,2.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Chronic Drinking - Male,Ohio,40,7.7,0.98,9.1,6.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Chronic Drinking - Rural,Ohio,,4.7,,6,3.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Chronic Drinking - Some College,Ohio,35,6.6,0.45,8.3,5,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Chronic Drinking - Suburban,Ohio,,5.2,,6.6,3.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Chronic Drinking - Urban,Ohio,15,4,-0.41,5,2.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Chronic Drinking - White,Ohio,22,6.6,-0.07,7.5,5.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Clinical Care,Ohio,35,-0.065,,,,America's Health Rankings composite measure,2015
2015,2015 Annual,Colorectal Cancer Screening,Ohio,28,65.1,-0.29,67,63.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Colorectal Cancer Screening - $25-$49,999",Ohio,22,67.3,0.25,71.1,63.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Colorectal Cancer Screening - $50-$74,999",Ohio,47,63.1,-1.42,67.9,58.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Colorectal Cancer Screening - $75,000 or More",Ohio,34,71.2,-0.43,74.7,67.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Colorectal Cancer Screening - American Indian/Alaskan Native,Ohio,0,,0,0,0,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Colorectal Cancer Screening - Asian,Ohio,0,61.2,0,82.6,39.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Colorectal Cancer Screening - Black,Ohio,0,71.3,0,78.2,64.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Colorectal Cancer Screening - College Grad,Ohio,33,73.1,-0.33,75.9,70.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Colorectal Cancer Screening - Female,Ohio,35,64.6,-0.69,67.1,62.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Colorectal Cancer Screening - Hawaiian/Pacific Islander,Ohio,0,,0,0,0,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Colorectal Cancer Screening - High School Grad,Ohio,31,60.5,-0.41,63.7,57.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Colorectal Cancer Screening - Hispanic,Ohio,0,,0,0,0,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Colorectal Cancer Screening - Less than $25,000",Ohio,13,59.3,0.71,63.4,55.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Colorectal Cancer Screening - Less than High School,Ohio,11,56.9,0.75,64.6,49.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Colorectal Cancer Screening - Male,Ohio,20,65.6,0.17,68.5,62.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Colorectal Cancer Screening - Rural,Ohio,0,62.9,0,66.4,59.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Colorectal Cancer Screening - Some College,Ohio,28,67.8,-0.24,71.2,64.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Colorectal Cancer Screening - Suburban,Ohio,0,67.8,0,71.2,64.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Colorectal Cancer Screening - Urban,Ohio,31,71.1,-0.04,74.4,67.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Colorectal Cancer Screening - White,Ohio,35,64.8,-0.76,66.8,62.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Community & Environment,Ohio,28,0.005,,,,America's Health Rankings composite measure,2015
2015,2015 Annual,"Dedicated HC Provider - $25-$49,999",Ohio,24,80.3,0.23,83.3,77.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Dedicated HC Provider - $50-$74,999",Ohio,20,85.4,0.35,88.6,82.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Dedicated HC Provider - $75,000 or More",Ohio,13,89.2,0.43,91.3,87.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Dedicated HC Provider - 18-44,Ohio,20,67.2,0.38,69.8,64.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Dedicated HC Provider - 45-64,Ohio,15,87.7,0.51,89.3,86.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Dedicated HC Provider - 65+,Ohio,14,95.2,0.38,96.2,94.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Dedicated HC Provider - American Indian/Alaskan Native,Ohio,0,81.8,0,98.5,65.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Dedicated HC Provider - Asian,Ohio,0,57.8,0,70.6,45.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Dedicated HC Provider - Black,Ohio,0,74.3,0,79.3,69.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Dedicated HC Provider - College Grad,Ohio,15,87.2,0.5,89,85.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Dedicated HC Provider - Female,Ohio,20,85,0.51,86.6,83.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Dedicated HC Provider - Hawaiian/Pacific Islander,Ohio,0,,0,0,0,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Dedicated HC Provider - High School Grad,Ohio,18,82.1,0.5,84.3,79.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Dedicated HC Provider - Hispanic,Ohio,0,63.7,0,74.5,52.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Dedicated HC Provider - Less than $25,000",Ohio,12,77.2,0.93,80.2,74.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Dedicated HC Provider - Less than High School,Ohio,8,79.1,1.25,84.2,74,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Dedicated HC Provider - Male,Ohio,17,75,0.5,77.2,72.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Dedicated HC Provider - Rural,Ohio,0,87.1,0,89.4,84.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Dedicated HC Provider - Some College,Ohio,27,81.9,0.05,84.6,79.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Dedicated HC Provider - Suburban,Ohio,0,89.8,0,91.7,87.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Dedicated HC Provider - Urban,Ohio,10,89.7,0.95,91.6,87.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Dedicated HC Provider - White,Ohio,19,82.3,0.04,83.7,80.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Dedicated Health Care Provider,Ohio,19,80.2,0.59,81.5,78.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Dental Visit - $25-$49,999",Ohio,30,59.3,-0.44,62.4,56.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Dental Visit - $50-$74,999",Ohio,10,75.8,0.94,79.1,72.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Dental Visit - $75,000 or More",Ohio,22,82.8,0.28,85.3,80.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Dental Visit - Ages 18-44,Ohio,18,65,0.56,67.6,62.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Dental Visit - Ages 45-64,Ohio,33,66.7,0.05,68.8,64.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Dental Visit - Ages 65+,Ohio,31,63.7,-0.32,66,61.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Dental Visit - American Indian/Alaskan Native,Ohio,,51.7,,77.4,25.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Dental Visit - Asian,Ohio,,58.8,,71.8,45.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Dental Visit - Black,Ohio,,60.4,,65.7,55.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Dental Visit - College Grad,Ohio,14,82.7,0.95,84.6,80.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Dental Visit - Female,Ohio,24,68.6,0.27,70.4,66.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Dental Visit - Hawaiian/Pacific Islander,Ohio,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Dental Visit - High School Grad,Ohio,28,57.6,-0.04,60.1,55.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Dental Visit - Hispanic,Ohio,,68.5,,78.3,58.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Dental Visit - Less Than $25,000",Ohio,18,45.7,0.38,48.8,42.5,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Dental Visit - Less than High School,Ohio,21,41.5,0.07,47.2,35.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Dental Visit - Male,Ohio,27,61.9,0.06,64.1,59.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Dental Visit - Rural,Ohio,,60.6,,63.6,57.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Dental Visit - Some College,Ohio,25,66.7,0.19,69.5,63.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Dental Visit - Suburban,Ohio,,73.1,,75.7,70.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Dental Visit - Urban,Ohio,31,67.8,-0.04,70.6,65.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Dental Visit - White,Ohio,29,66.6,-0.33,68.2,65.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Dental Visit, Annual",Ohio,25,65.3,0,66.8,63.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Dentists,Ohio,31,51.9,-0.803,,,American Dental Association,2013
2015,2015 Annual,Diabetes,Ohio,42,11.7,1.04,12.6,10.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Diabetes - $25-$49,999",Ohio,34,12.9,0.26,14.7,11.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Diabetes - $50-$74,999",Ohio,37,10.4,0.39,12.5,8.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Diabetes - $75,000 or More",Ohio,29,6.9,0,8.2,5.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Diabetes - Ages 18-44,Ohio,30,3,0.15,3.8,2.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Diabetes - Ages 45-64,Ohio,40,15.5,0.53,17.1,13.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Diabetes - Ages 65+,Ohio,41,24,0.53,26,22,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Diabetes - American Indian/Alaskan Native,Ohio,,24.2,,49,-0.5,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Diabetes - Asian,Ohio,,1.6,,3.9,-0.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Diabetes - Black,Ohio,,17.1,,20.5,13.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Diabetes - College Grad,Ohio,28,7.5,0.07,8.6,6.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Diabetes - Female,Ohio,39,11.3,0.67,12.3,10.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Diabetes - Hawaiian/Pacific Islander,Ohio,,,,,,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Diabetes - High School Grad,Ohio,45,15.6,0.89,17.3,14,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Diabetes - Hispanic,Ohio,,12.9,,19.3,6.5,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Diabetes - Less Than $25,000",Ohio,50,20.7,1.61,23.1,18.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Diabetes - Less than High School,Ohio,20,16.7,-0.42,20.3,13.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,Diabetes - Male,Ohio,43,12.2,0.82,13.5,10.9,"CDC, Behavioral Risk Factor Surveillance System",2014
