Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic Area,Dollar,Margin of Error
0400000US39,39,Ohio,0500000US39105,39105,Meigs County,42105,2658
0400000US39,39,Ohio,0500000US39107,39107,Mercer County,57052,2526
0400000US39,39,Ohio,0500000US39109,39109,Miami County,54568,1561
0400000US39,39,Ohio,0500000US39111,39111,Monroe County,43299,1915
0400000US39,39,Ohio,0500000US39113,39113,Montgomery County,47045,686
0400000US39,39,Ohio,0500000US39115,39115,Morgan County,40276,2601
0400000US39,39,Ohio,0500000US39117,39117,Morrow County,52767,3268
0400000US39,39,Ohio,0500000US39119,39119,Muskingum County,43325,1836
0400000US39,39,Ohio,0500000US39121,39121,Noble County,42171,5489
0400000US39,39,Ohio,0500000US39123,39123,Ottawa County,56193,2122
0400000US39,39,Ohio,0500000US39125,39125,Paulding County,49866,2873
0400000US39,39,Ohio,0500000US39127,39127,Perry County,46477,2387
0400000US39,39,Ohio,0500000US39129,39129,Pickaway County,60314,2665
0400000US39,39,Ohio,0500000US39131,39131,Pike County,43562,3478
0400000US39,39,Ohio,0500000US39133,39133,Portage County,53816,1220
0400000US39,39,Ohio,0500000US39135,39135,Preble County,52661,1632
0400000US39,39,Ohio,0500000US39137,39137,Putnam County,61161,2028
0400000US39,39,Ohio,0500000US39139,39139,Richland County,44138,1267
0400000US39,39,Ohio,0500000US39141,39141,Ross County,45792,2053
0400000US39,39,Ohio,0500000US39143,39143,Sandusky County,50370,1439
0400000US39,39,Ohio,0500000US39145,39145,Scioto County,38978,1851
0400000US39,39,Ohio,0500000US39147,39147,Seneca County,49153,1729
0400000US39,39,Ohio,0500000US39149,39149,Shelby County,57673,2610
0400000US39,39,Ohio,0500000US39151,39151,Stark County,50117,834
0400000US39,39,Ohio,0500000US39153,39153,Summit County,53291,806
0400000US39,39,Ohio,0500000US39155,39155,Trumbull County,45380,778
0400000US39,39,Ohio,0500000US39157,39157,Tuscarawas County,49460,2069
0400000US39,39,Ohio,0500000US39159,39159,Union County,78848,3468
0400000US39,39,Ohio,0500000US39161,39161,Van Wert County,50974,1902
0400000US39,39,Ohio,0500000US39163,39163,Vinton County,41541,3335
0400000US39,39,Ohio,0500000US39165,39165,Warren County,79397,2054
0400000US39,39,Ohio,0500000US39167,39167,Washington County,46021,1778
0400000US39,39,Ohio,0500000US39169,39169,Wayne County,54037,1104
0400000US39,39,Ohio,0500000US39171,39171,Williams County,47593,1733
0400000US39,39,Ohio,0500000US39173,39173,Wood County,58033,1604
0400000US39,39,Ohio,0500000US39175,39175,Wyandot County,49767,2147
