Month,Birthplace,Delivery,Fetalpresentation,Bin_Five_min_APGAR_score_code,Average_Age_Mother_years,Average_Birth_Weight_grams,Average_Prenatal_Visits,Average_OE_Gestational_Age_weeks,Average_Pre-pregnancy_BMI,Births
January,Hospital,Vaginal,Other,0,30.75,1421.33,7.33,26,37.75,4
January,Hospital,Vaginal,Other,0,25.55,909.15,6.72,23.2,27.17,31
January,Hospital,Vaginal,Other,0,24.6,1181.22,4.12,24.8,31.02,10
January,Hospital,Vaginal,Other,0,26.25,2573.38,8.88,35.5,25.21,8
January,Hospital,Vaginal,Other,0,29.38,2393.75,11.12,33.38,26.36,8
January,Hospital,Vaginal,Other,1,25.9,2701.65,10,35.5,29.56,20
January,Hospital,Vaginal,Other,1,27.5,2380.76,8.6,34.33,25.46,42
January,Hospital,Vaginal,Other,1,26.04,2994.47,9.24,37.18,26.65,80
January,Hospital,Vaginal,Other,1,27.09,3200.54,10.95,38.29,26.73,432
January,Hospital,Vaginal,Other,1,27.66,3281.85,11.06,38.75,26.28,2989
January,Hospital,Vaginal,Cephalic,0,29.53,1598.15,7.33,26.93,28.53,15
January,Hospital,Vaginal,Cephalic,0,29.91,851.25,4.97,23.55,27.92,67
January,Hospital,Vaginal,Cephalic,0,30.36,1884.47,6.1,29.48,27.12,42
January,Hospital,Vaginal,Cephalic,0,32.68,1915.25,8.91,31.04,29.36,25
January,Hospital,Vaginal,Cephalic,0,30.66,2550.48,7.81,34.66,27.13,32
January,Hospital,Vaginal,Cephalic,1,30.16,2869.69,8.93,35.72,27.67,58
January,Hospital,Vaginal,Cephalic,1,30.54,2826.69,10.21,36.27,27.52,118
January,Hospital,Vaginal,Cephalic,1,30.54,2979.73,9.59,36.69,27.34,302
January,Hospital,Vaginal,Cephalic,1,30.51,3207.99,10.39,37.94,27.36,1650
January,Hospital,Vaginal,Cephalic,1,30.6,3309.93,10.77,38.65,26.84,14683
January,Hospital,Vaginal,Breech,0,26.2,325.6,3,20.2,34.2,5
January,Hospital,Vaginal,Breech,0,30.5,498.63,4.52,21.84,27.78,32
January,Hospital,Vaginal,Breech,0,34,392,5,20.17,30.84,6
January,Hospital,Vaginal,Breech,0,31.8,497.2,3.4,22.6,30.44,5
January,Hospital,Vaginal,Breech,0,30.5,2434.5,9,32.5,27.02,4
January,Hospital,Vaginal,Breech,1,39,2215.33,8.5,35.67,24.97,3
January,Hospital,Vaginal,Breech,1,31.67,1606.89,6.88,30.56,27.48,9
January,Hospital,Vaginal,Breech,1,33.1,2540.29,8.81,35.57,32.01,21
January,Hospital,Vaginal,Breech,1,31.39,3013.24,10.21,37.96,26,54
January,Hospital,Vaginal,Breech,1,34,2948,12,38,51.5,1
January,Hospital,Vaginal,Other,0,27,312,5,19,31.2,1
January,Hospital,Vaginal,Other,0,27.75,371,4.5,19.33,28.13,4
January,Hospital,Vaginal,Other,0,36,476,6.5,22,31.65,2
January,Hospital,Vaginal,Other,0,27,461,4,22,22,1
January,Hospital,Vaginal,Other,1,37.5,3785,11,39.5,30.4,2
January,Hospital,Vaginal,Other,1,28.75,2990.75,8.25,36.75,26.73,4
January,Hospital,Vaginal,Other,1,28.85,3287.54,7.85,38.46,31.59,13
January,Hospital,Vaginal,Other,1,29.91,3280.58,9.53,38.73,27.72,111
January,Hospital,Csection,Cephalic,0,28.08,2569.5,8.02,34.9,27.69,126
January,Hospital,Csection,Cephalic,0,27.59,2354.32,9.58,33.92,28.86,409
January,Hospital,Csection,Cephalic,0,27.91,2532.86,9.8,35.03,29.03,432
January,Hospital,Csection,Cephalic,0,28.27,2467.05,10.09,34.77,29.21,475
January,Hospital,Csection,Cephalic,0,28.29,2653.13,10.26,35.61,28.93,722
January,Hospital,Csection,Cephalic,1,28.14,2598.29,10.36,35.4,29.29,1127
January,Hospital,Csection,Cephalic,1,28.35,2635.16,10.48,35.63,28.89,2080
January,Hospital,Csection,Cephalic,1,28.68,2717.61,10.71,36.03,28.78,4314
January,Hospital,Csection,Cephalic,1,28.77,3011.62,11.3,37.3,28.77,18603
January,Hospital,Csection,Cephalic,1,29.12,3282.7,11.73,38.52,28.24,111324
January,Hospital,Csection,Cephalic,1,28.23,3372.65,12.04,38.82,28.48,2192
January,Hospital,Csection,Breech,0,29.67,1358.8,5.16,28.86,29.15,21
January,Hospital,Csection,Breech,0,28.73,1271.63,7.09,28.15,28.69,175
January,Hospital,Csection,Breech,0,27.68,1620.8,8.38,30.31,28.11,140
January,Hospital,Csection,Breech,0,28.17,1612.25,7.61,30.18,29.4,146
January,Hospital,Csection,Breech,0,28.96,1652.42,7.9,30.33,28.49,202
January,Hospital,Csection,Breech,1,29.48,1805.8,9.22,31.36,29.6,332
January,Hospital,Csection,Breech,1,29.97,1760.43,8.85,31.18,28.27,566
January,Hospital,Csection,Breech,1,29.36,1995.26,9.3,32.51,28.28,1175
January,Hospital,Csection,Breech,1,29.68,2523.73,10.7,35.15,27.9,3972
January,Hospital,Csection,Breech,1,29.93,2988.4,11.43,37.48,26.83,20710
January,Hospital,Csection,Other,0,26.71,1625.29,7.8,30,23.98,7
January,Hospital,Csection,Other,0,31.75,1826.75,9.25,30.95,27.52,20
January,Hospital,Csection,Other,0,26.07,1258,6.15,27.86,27.34,14
January,Hospital,Csection,Other,0,29.07,1985.79,9.48,31.81,26.27,28
January,Hospital,Csection,Other,0,27.61,2066.55,8.75,32.21,30.86,38
January,Hospital,Csection,Other,1,28.36,2334.7,8.48,33.48,29.12,44
January,Hospital,Csection,Other,1,28.66,2257.2,10.66,33.34,29,74
January,Hospital,Csection,Other,1,28.94,2484.29,10.24,34.78,28.25,187
January,Hospital,Csection,Other,1,29.05,2832.81,10.48,36.44,28.69,540
January,Hospital,Csection,Other,1,29.51,3130.62,11.52,38,28.16,2815
January,Hospital,Csection,Other,1,28.93,3413.5,11.62,38.88,29.13,72
January,Hospital,Csection,Cephalic,0,30.29,2430.68,10.57,33.55,30.28,38
January,Hospital,Csection,Cephalic,0,31.53,2154.18,9.39,32.52,28.54,116
January,Hospital,Csection,Cephalic,0,30.6,2535.19,9.29,34.53,31.38,133
January,Hospital,Csection,Cephalic,0,30.1,2599.26,9.93,34.7,31.04,173
January,Hospital,Csection,Cephalic,0,30.99,2604.58,9.33,35.01,30.71,243
January,Hospital,Csection,Cephalic,1,30.44,2777.43,9.93,35.44,30.4,380
January,Hospital,Csection,Cephalic,1,30.66,2754.35,10.07,35.58,30.57,800
January,Hospital,Csection,Cephalic,1,30.56,2921.93,10.38,36.28,30.58,2004
January,Hospital,Csection,Cephalic,1,30.55,3192.92,10.92,37.6,29.81,12250
January,Hospital,Csection,Cephalic,1,30.78,3338.26,11.18,38.39,28.96,98111
January,Hospital,Csection,Cephalic,1,30.05,3381.72,11.36,38.6,29.03,2591
January,Hospital,Csection,Breech,0,27,2041.5,4.5,29.5,27.3,2
January,Hospital,Csection,Breech,0,31,1778.94,7.29,30.49,29.14,35
January,Hospital,Csection,Breech,0,31.15,1681.91,9.35,30.82,30.53,33
January,Hospital,Csection,Breech,0,30.86,1770.47,7.94,30.97,31.01,36
January,Hospital,Csection,Breech,0,31.65,2051.28,9.67,31.84,32.66,43
January,Hospital,Csection,Breech,1,31.86,1878.54,8.84,31.76,30.9,78
January,Hospital,Csection,Breech,1,32.54,1982.54,8.72,31.91,30.47,145
January,Hospital,Csection,Breech,1,31.32,2372.93,10.11,34.29,31.17,301
January,Hospital,Csection,Breech,1,31.61,2664.32,10.48,35.39,30.75,1045
January,Hospital,Csection,Breech,1,31.94,3055.31,11.37,37.37,29.2,4910
January,Hospital,Csection,Other,0,28.67,3002.33,9.33,35.67,35.63,3
January,Hospital,Csection,Other,0,27.43,1084.43,5,26.86,32.63,7
January,Hospital,Csection,Other,0,30.17,1580.83,8,28.83,32.5,6
January,Hospital,Csection,Other,0,29.35,2088.65,7.5,33.25,30.01,20
January,Hospital,Csection,Other,0,29.91,2293.45,6.3,32.91,33.56,11
January,Hospital,Csection,Other,1,31.86,2791.36,11,35.36,31.65,14
January,Hospital,Csection,Other,1,30.37,2500.9,9.62,33.9,28.87,41
January,Hospital,Csection,Other,1,29.78,2758.65,10.81,35.85,31.84,54
January,Hospital,Csection,Other,1,30.52,3000.24,10.73,36.72,29.73,261
January,Hospital,Csection,Other,1,30.61,3279.47,11.13,38.1,29.52,1775
January,Hospital,Csection,Other,1,31.15,3396.91,12.26,38.39,27.96,46
January,Hospital,Vaginal,Cephalic,0,26.64,463.5,0,21.5,27.06,22
January,Hospital,Vaginal,Cephalic,0,21,1347.5,3,21,24.8,2
January,Hospital,Vaginal,Cephalic,0,37,2594,16,37.5,30.65,2
January,Hospital,Vaginal,Cephalic,0,41,2583,0,35,27.2,1
January,Hospital,Vaginal,Cephalic,1,31.25,2681.25,4.33,36,37.2,4
January,Hospital,Vaginal,Cephalic,1,28.67,2644.75,5,36,23.96,9
January,Hospital,Vaginal,Cephalic,1,22.67,3127.22,6.57,37,22.66,9
January,Hospital,Vaginal,Cephalic,1,27.94,3184.5,7.29,37.84,26.02,70
January,Hospital,Vaginal,Cephalic,1,27.26,3224.68,7.4,38.64,25.84,355
January,Hospital,Vaginal,Cephalic,1,28,3134.55,15.86,38.73,23.09,11
January,Hospital,Vaginal,Breech,0,20,380,0,24,,1
January,Hospital,Vaginal,Breech,1,25,2463,3,36.75,23.9,4
January,Hospital,Vaginal,Other,1,21,2685,11,38,23.2,1
January,Hospital,Csection,Cephalic,0,32,2655,0,39,,1
January,Hospital,Csection,Cephalic,0,20,3487,3,40,39.6,1
January,Hospital,Csection,Cephalic,1,27,2948,4.5,38.5,28.6,2
January,Hospital,Csection,Cephalic,1,26.43,1925,6.75,33.14,22.52,7
January,Hospital,Csection,Cephalic,1,28.33,2153.33,4.67,36,21.7,3
January,Hospital,Csection,Cephalic,1,31.38,3116.56,7.93,36.67,30.81,16
January,Hospital,Csection,Cephalic,1,29.38,3316.42,9.82,38.54,28.65,76
January,Hospital,Csection,Cephalic,1,26,3671,12,39,31.4,2
January,Hospital,Csection,Breech,0,19,2225,6,38,27.4,1
January,Hospital,Csection,Breech,1,31,2970,7,35,43.5,1
January,Hospital,Csection,Breech,1,31,2906,4,36,24.1,2
January,Hospital,Csection,Breech,1,28.8,2519.2,1,36,23.13,5
January,Hospital,Csection,Breech,1,26.5,2973.3,6.5,37.7,27.03,10
January,Hospital,Csection,Other,1,23,3595,0,40,27.5,1
January,Hospital,Csection,Other,1,27,3303,12,39,54.5,1
January,Hospital,Csection,Other,1,29.75,3322.5,1,37.75,31.07,4
January,Freestanding_Birth_Center,Vaginal,Cephalic,0,35,3402,5,40,29.9,1
January,Freestanding_Birth_Center,Vaginal,Cephalic,0,29.33,3127.67,9.33,38.33,27.17,3
January,Freestanding_Birth_Center,Vaginal,Cephalic,0,31.6,3234.8,10.2,39.4,21.02,5
January,Freestanding_Birth_Center,Vaginal,Cephalic,1,28.75,3695,9.67,39.83,24.44,12
January,Freestanding_Birth_Center,Vaginal,Cephalic,1,30.2,3609.8,11.51,39.8,24.97,35
January,Freestanding_Birth_Center,Vaginal,Cephalic,1,29.34,3539.7,10.54,39.6,24.23,90
January,Freestanding_Birth_Center,Vaginal,Cephalic,1,29.79,3587.25,10.65,39.62,24.33,384
January,Freestanding_Birth_Center,Vaginal,Cephalic,1,29.85,3553.64,11.24,39.62,24.34,2854
January,Freestanding_Birth_Center,Vaginal,Breech,1,30.67,3368.67,10.33,39.67,23.6,3
January,Freestanding_Birth_Center,Vaginal,Breech,1,27.88,3248.12,10.38,39.5,24.64,8
January,Freestanding_Birth_Center,Vaginal,Other,1,32.8,3692.4,14.6,40,20.88,5
January,Freestanding_Birth_Center,Vaginal,Other,1,30.33,3137.33,8.67,39,23.2,3
January,Freestanding_Birth_Center,Vaginal,Cephalic,1,38,4848,14,40,36,1
January,Freestanding_Birth_Center,Vaginal,Cephalic,1,38,3402,10,39,33.7,1
January,Freestanding_Birth_Center,Vaginal,Cephalic,1,30,3328.71,10.71,39.14,26.77,7
January,Freestanding_Birth_Center,Vaginal,Cephalic,1,32.55,3748.18,10.39,40,25.86,51
January,Freestanding_Birth_Center,Vaginal,Cephalic,1,31.57,3625.82,10.19,39.82,25.74,28
January,Freestanding_Birth_Center,Vaginal,Breech,1,39,3912,12,41,42.3,1
January,Freestanding_Birth_Center,Csection,Cephalic,0,35,2485,9,37,27.8,1
January,Freestanding_Birth_Center,Csection,Cephalic,1,28,3540,10,39,20.5,1
January,Freestanding_Birth_Center,Csection,Cephalic,1,23,3810,10,39,42.9,1
January,Freestanding_Birth_Center,Csection,Cephalic,1,26.8,3277.2,7.8,39.2,29.44,5
January,Freestanding_Birth_Center,Vaginal,Cephalic,1,30,3459,11,40,24.3,1
January,Freestanding_Birth_Center,Vaginal,Cephalic,1,26,3997,10,40,18.3,1
January,Home ,Vaginal,Cephalic,0,26.6,3299.8,5.75,39.6,23.3,5
January,Home ,Vaginal,Cephalic,0,28,3345,6,39,19,1
January,Home ,Vaginal,Cephalic,0,34.33,3147.83,8.33,38.33,29.4,6
January,Home ,Vaginal,Cephalic,0,31.82,3553.55,10.45,39.45,25.58,11
January,Home ,Vaginal,Cephalic,0,29.25,3869.12,9.56,39.5,23.9,16
January,Home ,Vaginal,Cephalic,1,30.31,3447.69,7.67,39.41,24.83,39
January,Home ,Vaginal,Cephalic,1,31.07,3607.98,9.26,39.45,26.44,44
January,Home ,Vaginal,Cephalic,1,29.78,3613.49,9.27,39.53,25.23,139
January,Home ,Vaginal,Cephalic,1,30.29,3577.06,9.61,39.69,24.79,514
January,Home ,Vaginal,Cephalic,1,30.71,3614.69,9.87,39.67,24.26,2795
January,Home ,Vaginal,Cephalic,1,30.44,3581.54,9.5,39.71,24.17,2775
January,Home ,Vaginal,Breech,0,39,4167,3,42,32.9,1
January,Home ,Vaginal,Breech,1,34,3529.5,3.5,40,23.1,2
January,Home ,Vaginal,Breech,1,26,3600,4,41,22.3,1
January,Home ,Vaginal,Breech,1,30.75,2778.25,5.5,36.5,20.55,4
January,Home ,Vaginal,Breech,1,30.86,3256.29,7.71,39.57,25.45,7
January,Home ,Vaginal,Breech,1,29.84,3179.67,8.74,39.42,23.51,19
January,Home ,Vaginal,Breech,1,29.2,3241.67,9.13,39.47,22.73,15
January,Home ,Vaginal,Other,0,26,4479,0,39,37.1,1
January,Home ,Vaginal,Other,1,31,2892,12,37,17.5,1
January,Home ,Vaginal,Other,1,36,3742,15,40,21,2
January,Home ,Vaginal,Other,1,34.86,3487,11.14,40.43,24.87,7
January,Home ,Vaginal,Other,1,33.25,3706.5,3.5,39.5,21.52,4
January,Home ,Vaginal,Cephalic,0,33,2722,12,40,21.9,1
January,Home ,Vaginal,Cephalic,0,32,3827,9,40,21.8,1
January,Home ,Vaginal,Cephalic,1,29.67,3250.67,7,39,25.03,3
January,Home ,Vaginal,Cephalic,1,29.5,3671.5,6,39.5,24.05,2
January,Home ,Vaginal,Cephalic,1,32.86,3837.36,10,39.57,30.28,14
January,Home ,Vaginal,Cephalic,1,31.82,3579.58,9.06,39.85,26.97,33
January,Home ,Vaginal,Cephalic,1,33.04,3687.62,9.94,39.74,26.14,125
January,Home ,Vaginal,Cephalic,1,31.68,3703.54,10.52,39.96,25.87,130
January,Home ,Vaginal,Breech,1,29,3742,4,39,33.2,1
January,Home ,Vaginal,Breech,1,33,3147,6,40,26.5,1
January,Home ,Vaginal,Breech,1,34,4025.5,12,40.5,30.25,2
January,Home ,Vaginal,Other,1,24,4224,12,38,44.3,1
January,Home ,Vaginal,Other,1,34,2693,3,41,21.6,1
January,Home ,Vaginal,Cephalic,1,30,3373.5,4,39,25.1,2
January,Home ,Vaginal,Cephalic,1,30.4,3439.89,9.4,39.6,23.67,10
January,Home ,Vaginal,Cephalic,1,28.82,3397,9.36,39.18,23.4,11
January,Home ,Vaginal,Breech,0,49,3686,9,39,30,1
January,Home ,Vaginal,Cephalic,0,27.41,2578.97,6.81,34.93,26.53,32
January,Home ,Vaginal,Cephalic,0,28.11,917.88,3.67,23.56,25.87,9
January,Home ,Vaginal,Cephalic,0,29,1996.33,4.67,32.33,29.8,3
January,Home ,Vaginal,Cephalic,0,28,4366,8,38,32.5,1
January,Home ,Vaginal,Cephalic,0,32,3132.67,8,38,22.27,3
January,Home ,Vaginal,Cephalic,1,28.25,2706.5,7.5,36.58,25.14,12
January,Home ,Vaginal,Cephalic,1,26.75,2711.25,7.17,35.62,24.4,8
January,Home ,Vaginal,Cephalic,1,29.8,2968.4,6.57,37.2,25.37,15
January,Home ,Vaginal,Cephalic,1,28.76,3049.28,7.54,37.93,26.11,75
January,Home ,Vaginal,Cephalic,1,29.02,3140.46,8.51,38.56,25.46,310
January,Home ,Vaginal,Cephalic,1,28.72,3140.29,8.28,38.2,25.83,114
January,Home ,Vaginal,Breech,0,26.5,1783.5,0,29.5,26.7,2
January,Home ,Vaginal,Breech,1,32,2755,10,38,41.6,1
January,Home ,Vaginal,Breech,1,23,2863,8,37,20.8,1
January,Home ,Vaginal,Breech,1,32,2445.5,6.5,34.5,20.55,2
January,Home ,Vaginal,Breech,1,32.5,2452.5,20,36.5,27.85,2
January,Home ,Vaginal,Breech,1,32.5,2662.5,5.25,38.25,22.6,4
January,Home ,Vaginal,Other,0,32.5,2697.5,4.5,33.67,21.45,4
January,Home ,Vaginal,Other,0,38,491,0,22,22.6,1
January,Home ,Vaginal,Other,1,27,2765,5,36,22.9,1
January,Home ,Vaginal,Other,1,20,1974,7,35.5,22.55,2
January,Home ,Vaginal,Other,1,31.17,3509.83,9.6,38.67,21.82,6
January,Home ,Vaginal,Other,1,25.75,3038.25,6,37.5,25.12,4
January,Home ,Vaginal,Cephalic,0,29,397,2,21,18.2,1
January,Home ,Vaginal,Cephalic,1,36,2653,6.5,38,25.55,2
January,Home ,Vaginal,Cephalic,1,37,2603.5,13,35.5,25.05,2
January,Home ,Vaginal,Cephalic,1,28.5,3754.5,7,38,22.3,2
January,Home ,Vaginal,Cephalic,1,31.3,3027.4,8.68,38.05,27.13,20
January,Home ,Vaginal,Cephalic,1,32.8,2991,4.25,37.6,26.95,5
January,Home ,Vaginal,Breech,1,29,3170,3,38,27.4,1
January,Home ,Csection,Cephalic,1,28,1320,9,30,21.1,1
January,Home ,Csection,Cephalic,1,23.25,3376.25,9.75,39,25.28,4
January,Home ,Csection,Other,1,38,3339,9,39,26.6,1
January,Home ,Csection,Cephalic,1,33.5,3431.5,8.5,39,22.65,2
January,Home ,Vaginal,Cephalic,1,20,3310,0,37.5,24.5,2
January,Home ,Vaginal,Cephalic,1,27,3159,0,39,30.2,2
January,Home ,Vaginal,Cephalic,0,23.33,3241.33,10.33,40,25.93,3
January,Home ,Vaginal,Cephalic,0,39.5,2669.5,9,36,23.3,2
January,Home ,Vaginal,Cephalic,0,25,2648,0,39,22.5,1
January,Home ,Vaginal,Cephalic,1,25,3232,5,38,22.3,1
January,Home ,Vaginal,Cephalic,1,28.83,3497.17,10.17,39.67,22.8,6
January,Home ,Vaginal,Cephalic,1,32.54,3501.08,10.69,39.54,22.51,13
January,Home ,Vaginal,Cephalic,1,30.5,3297.33,9.8,38.78,24.03,46
January,Home ,Vaginal,Cephalic,1,31.62,3545.41,11.13,39.48,24.98,229
January,Home ,Vaginal,Cephalic,1,31.86,3538.24,11.27,39.66,23.28,326
January,Home ,Vaginal,Breech,1,34,3311,5,37.5,29.2,2
January,Home ,Vaginal,Cephalic,1,32,3572,15,41,19.1,1
January,Home ,Vaginal,Cephalic,1,39,3033,7,40,28.5,1
January,Home ,Vaginal,Cephalic,1,31,3033,10,40,26.1,1
January,Home ,Vaginal,Cephalic,1,37,3572,10,39,21.1,1
January,Home ,Vaginal,Cephalic,1,33.86,3798.86,12.67,39.86,28.11,7
January,Home ,Vaginal,Cephalic,1,31.2,3726.5,10.3,39.6,26.23,10
January,Home ,Csection,Cephalic,1,35,3025,4,41,24.7,1
January,Hospital,Vaginal,Cephalic,1,38,1865,6,34,24.3,1
January,Hospital,Vaginal,Cephalic,1,23.5,2828,8.25,37,19.65,4
January,Hospital,Vaginal,Cephalic,1,25.46,3340.85,9.17,39,24.08,13
January,Hospital,Vaginal,Cephalic,1,29.93,3426.69,9.06,39.37,25.7,54
January,Hospital,Vaginal,Cephalic,1,30.79,3457.64,8.47,39.56,24.76,39
January,Hospital,Vaginal,Breech,1,26,1700,7,33,25.7,1
January,Hospital,Vaginal,Breech,1,42,3629,10,39,23,1
January,Hospital,Vaginal,Other,1,21,2608,8,37,21.5,1
January,Hospital,Vaginal,Cephalic,1,30.5,2289.5,12,32,25.7,2
January,Hospital,Vaginal,Cephalic,1,31.6,3196.4,8.4,39.2,28.14,5
January,Hospital,Vaginal,Cephalic,1,36,3274,11,39.5,25.9,2
January,Hospital,Csection,Breech,1,22,2960,10,37,20.2,1
January,Hospital,Csection,Cephalic,1,29,3175,21,40,24.6,1
January,Other,Vaginal,Cephalic,0,26.71,2826.14,9.5,36.86,24.07,7
January,Other,Vaginal,Cephalic,0,30,425,6,22,30.3,1
January,Other,Vaginal,Cephalic,0,22,2325,2,34,23.9,1
January,Other,Vaginal,Cephalic,0,25.67,2764.33,5.33,36,28.47,3
January,Other,Vaginal,Cephalic,1,27.8,3286.4,7.6,39.4,23.65,5
January,Other,Vaginal,Cephalic,1,27,2331.75,5.25,35.25,27.05,4
January,Other,Vaginal,Cephalic,1,31.1,3010.3,7.12,37.33,26.19,20
January,Other,Vaginal,Cephalic,1,26.57,3248.21,7.21,38.44,24.13,35
January,Other,Vaginal,Cephalic,1,29.03,3283.45,8.34,38.75,25.68,231
January,Other,Vaginal,Cephalic,1,28.81,3429.12,6.36,39.22,25.38,156
January,Other,Vaginal,Breech,1,29.33,2655.67,9.33,36,24.5,3
January,Other,Vaginal,Breech,1,27,3015.5,14.5,36.5,25.8,2
January,Other,Vaginal,Cephalic,1,34.67,3580.67,14.67,39,25.73,3
January,Other,Vaginal,Cephalic,1,29.67,3423.56,7.76,39.56,26.87,18
January,Other,Vaginal,Cephalic,1,34.67,3269.83,6.17,40.17,27.15,6
January,Other,Csection,Cephalic,1,26,2302.5,5.5,35,23.45,2
January,Other,Csection,Cephalic,1,28.67,3104,11.33,37.67,32.17,3
January,Other,Csection,Breech,1,25,875,7,29,28.6,1
January,Other,Vaginal,Cephalic,0,20,3345,0,40,,1
January,Other,Vaginal,Cephalic,1,25,3572,5,36,32.6,1
February,Hospital,Vaginal,Cephalic,0,28.21,2088.93,7.82,31.18,28.19,141
February,Hospital,Vaginal,Cephalic,0,27.85,1363.47,6.52,26.55,28.08,792
February,Hospital,Vaginal,Cephalic,0,27.27,2300.38,9.4,32.35,27.79,535
February,Hospital,Vaginal,Cephalic,0,27.31,2680.36,9.82,35.14,27.48,585
February,Hospital,Vaginal,Cephalic,0,27.38,2926.09,10.38,36.74,26.98,815
February,Hospital,Vaginal,Cephalic,1,27.42,2996.6,10.71,37.17,27.09,1564
February,Hospital,Vaginal,Cephalic,1,27.5,3034.67,10.71,37.34,26.74,2985
February,Hospital,Vaginal,Cephalic,1,27.65,3110.39,10.82,37.65,26.95,8214
February,Hospital,Vaginal,Cephalic,1,27.75,3252.66,11.03,38.41,26.5,50913
February,Hospital,Vaginal,Cephalic,1,28.17,3304,11.24,38.79,26.1,480636
February,Hospital,Vaginal,Cephalic,1,27.58,3314.06,11.15,38.83,26.15,10950
February,Hospital,Vaginal,Breech,0,26.8,630.4,4.32,22.24,29.43,41
February,Hospital,Vaginal,Breech,0,28.24,585.37,4.38,21.9,28.99,254
February,Hospital,Vaginal,Breech,0,27.96,686.64,4.89,22.96,28.32,81
February,Hospital,Vaginal,Breech,0,27.39,1190.73,7.57,27.05,28.14,41
February,Hospital,Vaginal,Breech,0,28.32,1279.43,7.67,27.77,25.65,22
February,Hospital,Vaginal,Breech,1,29.28,1370.05,5.33,27.92,26.91,39
February,Hospital,Vaginal,Breech,1,30.02,1834.82,8.14,31.41,28.15,61
February,Hospital,Vaginal,Breech,1,28.72,1954.48,9.56,32.46,26.37,92
February,Hospital,Vaginal,Breech,1,29.23,2500.12,9.87,35.19,26.78,291
February,Hospital,Vaginal,Breech,1,29.47,2970.76,10.94,37.65,26.3,1124
February,Hospital,Vaginal,Breech,1,29.57,2791.86,9.14,37.71,27.43,7
February,Hospital,Vaginal,Other,0,30.2,2248.2,8.8,32,28.28,5
February,Hospital,Vaginal,Other,0,27.48,855.85,5.48,23.5,28.42,31
February,Hospital,Vaginal,Other,0,27.83,1367.36,6.36,26.92,29.88,12
February,Hospital,Vaginal,Other,0,25.6,1496.4,9.75,29.4,27.86,5
February,Hospital,Vaginal,Other,0,27.36,2844.45,8.73,37.09,28.5,11
February,Hospital,Vaginal,Other,1,25.52,2841.57,11.52,36.22,28.53,23
February,Hospital,Vaginal,Other,1,26.61,2812.94,9.6,36.45,28.56,31
February,Hospital,Vaginal,Other,1,26.13,3005.38,10.52,37.51,28.8,89
February,Hospital,Vaginal,Other,1,26.64,3257.75,10.32,38.48,26.6,413
February,Hospital,Vaginal,Other,1,27.8,3291.89,11.06,38.72,26.15,2856
February,Hospital,Vaginal,Other,1,26.45,3379.89,11.38,38.76,27.4,38
February,Hospital,Vaginal,Cephalic,0,31.29,1672.4,4.86,27,30.41,7
February,Hospital,Vaginal,Cephalic,0,30.88,800.22,5.37,23.68,29.06,69
February,Hospital,Vaginal,Cephalic,0,32.61,1438.5,5.81,27.36,30.52,33
February,Hospital,Vaginal,Cephalic,0,29.31,2202.36,8.48,31.93,26.72,29
February,Hospital,Vaginal,Cephalic,0,30.54,2797.89,9.2,35.49,27.85,37
February,Hospital,Vaginal,Cephalic,1,31.09,2386.24,8.38,34.28,27.45,54
