"Notes"	"State"	"State Code"	"County"	"County Code"	"Mother's Single Race"	"Mother's Single Race Code"	"Year of Death"	"Year of Death Code"	"Gender"	"Gender Code"	Deaths	Births	Death Rate
	"Arizona"	"04"	"Pima County, AZ"	"04019"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	14	4597	3.05 (Unreliable)
	"Arizona"	"04"	"Pima County, AZ"	"04019"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	18	4724	3.81 (Unreliable)
	"Arizona"	"04"	"Unidentified Counties, AZ"	"04999"	"American Indian or Alaska Native"	"1002-5"	"2017"	"2017"	"Female"	"F"	17	1337	12.72 (Unreliable)
	"Arizona"	"04"	"Unidentified Counties, AZ"	"04999"	"American Indian or Alaska Native"	"1002-5"	"2017"	"2017"	"Male"	"M"	13	1418	9.17 (Unreliable)
	"Arizona"	"04"	"Unidentified Counties, AZ"	"04999"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	23	5091	4.52
	"Arizona"	"04"	"Unidentified Counties, AZ"	"04999"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	34	5362	6.34
	"Arkansas"	"05"	"Pulaski County, AR"	"05119"	"Black or African American"	"2054-5"	"2017"	"2017"	"Female"	"F"	14	1141	12.27 (Unreliable)
	"Arkansas"	"05"	"Pulaski County, AR"	"05119"	"Black or African American"	"2054-5"	"2017"	"2017"	"Male"	"M"	20	1193	16.76
	"Arkansas"	"05"	"Unidentified Counties, AR"	"05999"	"Black or African American"	"2054-5"	"2017"	"2017"	"Female"	"F"	33	2642	12.49
	"Arkansas"	"05"	"Unidentified Counties, AR"	"05999"	"Black or African American"	"2054-5"	"2017"	"2017"	"Male"	"M"	24	2560	9.38
	"Arkansas"	"05"	"Unidentified Counties, AR"	"05999"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	78	12184	6.40
	"Arkansas"	"05"	"Unidentified Counties, AR"	"05999"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	103	12808	8.04
	"California"	"06"	"Alameda County, CA"	"06001"	"Black or African American"	"2054-5"	"2017"	"2017"	"Female"	"F"	10	940	10.64 (Unreliable)
	"California"	"06"	"Alameda County, CA"	"06001"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	13	4699	2.77 (Unreliable)
	"California"	"06"	"Alameda County, CA"	"06001"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	22	4765	4.62
	"California"	"06"	"Contra Costa County, CA"	"06013"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	10	4066	2.46 (Unreliable)
	"California"	"06"	"Fresno County, CA"	"06019"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	37	5624	6.58
	"California"	"06"	"Fresno County, CA"	"06019"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	37	5897	6.27
	"California"	"06"	"Kern County, CA"	"06029"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	36	5675	6.34
	"California"	"06"	"Kern County, CA"	"06029"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	32	5889	5.43
	"California"	"06"	"Los Angeles County, CA"	"06037"	"Asian"	"A"	"2017"	"2017"	"Female"	"F"	17	9294	1.83 (Unreliable)
	"California"	"06"	"Los Angeles County, CA"	"06037"	"Asian"	"A"	"2017"	"2017"	"Male"	"M"	30	10142	2.96
	"California"	"06"	"Los Angeles County, CA"	"06037"	"Black or African American"	"2054-5"	"2017"	"2017"	"Female"	"F"	35	4313	8.12
	"California"	"06"	"Los Angeles County, CA"	"06037"	"Black or African American"	"2054-5"	"2017"	"2017"	"Male"	"M"	40	4597	8.70
	"California"	"06"	"Los Angeles County, CA"	"06037"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	136	41545	3.27
	"California"	"06"	"Los Angeles County, CA"	"06037"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	195	43362	4.50
	"California"	"06"	"Monterey County, CA"	"06053"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	13	2609	4.98 (Unreliable)
	"California"	"06"	"Orange County, CA"	"06059"	"Asian"	"A"	"2017"	"2017"	"Male"	"M"	14	5308	2.64 (Unreliable)
	"California"	"06"	"Orange County, CA"	"06059"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	37	12501	2.96
	"California"	"06"	"Orange County, CA"	"06059"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	54	13098	4.12
	"California"	"06"	"Riverside County, CA"	"06065"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	57	11745	4.85
	"California"	"06"	"Riverside County, CA"	"06065"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	55	12509	4.40
	"California"	"06"	"Sacramento County, CA"	"06067"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	25	5721	4.37
	"California"	"06"	"Sacramento County, CA"	"06067"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	28	6066	4.62
	"California"	"06"	"San Bernardino County, CA"	"06071"	"Black or African American"	"2054-5"	"2017"	"2017"	"Female"	"F"	10	1256	7.96 (Unreliable)
	"California"	"06"	"San Bernardino County, CA"	"06071"	"Black or African American"	"2054-5"	"2017"	"2017"	"Male"	"M"	17	1297	13.11 (Unreliable)
	"California"	"06"	"San Bernardino County, CA"	"06071"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	46	10985	4.19
	"California"	"06"	"San Bernardino County, CA"	"06071"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	69	11572	5.96
	"California"	"06"	"San Bernardino County, CA"	"06071"	"More than one race"	"M"	"2017"	"2017"	"Male"	"M"	10	622	16.08 (Unreliable)
	"California"	"06"	"San Diego County, CA"	"06073"	"Asian"	"A"	"2017"	"2017"	"Female"	"F"	12	2394	5.01 (Unreliable)
	"California"	"06"	"San Diego County, CA"	"06073"	"Asian"	"A"	"2017"	"2017"	"Male"	"M"	11	2486	4.42 (Unreliable)
	"California"	"06"	"San Diego County, CA"	"06073"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	46	15750	2.92
	"California"	"06"	"San Diego County, CA"	"06073"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	63	16606	3.79
	"California"	"06"	"San Joaquin County, CA"	"06077"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	13	3418	3.80 (Unreliable)
	"California"	"06"	"San Joaquin County, CA"	"06077"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	19	3423	5.55 (Unreliable)
	"California"	"06"	"San Mateo County, CA"	"06081"	"Asian"	"A"	"2017"	"2017"	"Male"	"M"	11	1534	7.17 (Unreliable)
	"California"	"06"	"Santa Barbara County, CA"	"06083"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	10	2508	3.99 (Unreliable)
	"California"	"06"	"Santa Barbara County, CA"	"06083"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	16	2555	6.26 (Unreliable)
	"California"	"06"	"Santa Clara County, CA"	"06085"	"Asian"	"A"	"2017"	"2017"	"Female"	"F"	11	4680	2.35 (Unreliable)
	"California"	"06"	"Santa Clara County, CA"	"06085"	"Asian"	"A"	"2017"	"2017"	"Male"	"M"	18	5015	3.59 (Unreliable)
	"California"	"06"	"Santa Clara County, CA"	"06085"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	13	5410	2.40 (Unreliable)
	"California"	"06"	"Santa Clara County, CA"	"06085"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	23	5925	3.88
	"California"	"06"	"Solano County, CA"	"06095"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	13	1672	7.78 (Unreliable)
	"California"	"06"	"Stanislaus County, CA"	"06099"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	12	3219	3.73 (Unreliable)
	"California"	"06"	"Tulare County, CA"	"06107"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	21	3261	6.44
	"California"	"06"	"Tulare County, CA"	"06107"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	19	3365	5.65 (Unreliable)
	"California"	"06"	"Ventura County, CA"	"06111"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	18	4081	4.41 (Unreliable)
	"California"	"06"	"Ventura County, CA"	"06111"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	23	4172	5.51
	"California"	"06"	"Unidentified Counties, CA"	"06999"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	45	11971	3.76
	"California"	"06"	"Unidentified Counties, CA"	"06999"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	61	12750	4.78
	"Colorado"	"08"	"Adams County, CO"	"08001"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	20	2787	7.18
	"Colorado"	"08"	"Adams County, CO"	"08001"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	10	2876	3.48 (Unreliable)
	"Colorado"	"08"	"Arapahoe County, CO"	"08005"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	13	2792	4.66 (Unreliable)
	"Colorado"	"08"	"Denver County, CO"	"08031"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	12	3821	3.14 (Unreliable)
	"Colorado"	"08"	"Denver County, CO"	"08031"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	11	3817	2.88 (Unreliable)
	"Colorado"	"08"	"El Paso County, CO"	"08041"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	22	3764	5.84
	"Colorado"	"08"	"El Paso County, CO"	"08041"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	29	3997	7.26
	"Colorado"	"08"	"Jefferson County, CO"	"08059"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	12	2652	4.52 (Unreliable)
	"Colorado"	"08"	"Larimer County, CO"	"08069"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	10	1571	6.37 (Unreliable)
	"Colorado"	"08"	"Weld County, CO"	"08123"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	13	1947	6.68 (Unreliable)
	"Colorado"	"08"	"Unidentified Counties, CO"	"08999"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	19	5294	3.59 (Unreliable)
	"Colorado"	"08"	"Unidentified Counties, CO"	"08999"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	28	5531	5.06
	"Connecticut"	"09"	"Fairfield County, CT"	"09001"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	11	3623	3.04 (Unreliable)
	"Connecticut"	"09"	"Fairfield County, CT"	"09001"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	17	3872	4.39 (Unreliable)
	"Connecticut"	"09"	"Hartford County, CT"	"09003"	"Black or African American"	"2054-5"	"2017"	"2017"	"Female"	"F"	10	858	11.66 (Unreliable)
	"Connecticut"	"09"	"Hartford County, CT"	"09003"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	11	3184	3.45 (Unreliable)
	"Connecticut"	"09"	"New Haven County, CT"	"09009"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	13	3043	4.27 (Unreliable)
	"Connecticut"	"09"	"New Haven County, CT"	"09009"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	13	3135	4.15 (Unreliable)
	"Delaware"	"10"	"New Castle County, DE"	"10003"	"Black or African American"	"2054-5"	"2017"	"2017"	"Female"	"F"	12	1029	11.66 (Unreliable)
	"Delaware"	"10"	"New Castle County, DE"	"10003"	"Black or African American"	"2054-5"	"2017"	"2017"	"Male"	"M"	17	984	17.28 (Unreliable)
	"Delaware"	"10"	"New Castle County, DE"	"10003"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	12	1744	6.88 (Unreliable)
	"District of Columbia"	"11"	"District of Columbia, DC"	"11001"	"Black or African American"	"2054-5"	"2017"	"2017"	"Female"	"F"	27	2585	10.44
	"District of Columbia"	"11"	"District of Columbia, DC"	"11001"	"Black or African American"	"2054-5"	"2017"	"2017"	"Male"	"M"	29	2617	11.08
	"Florida"	"12"	"Brevard County, FL"	"12009"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	17	2053	8.28 (Unreliable)
	"Florida"	"12"	"Broward County, FL"	"12011"	"Black or African American"	"2054-5"	"2017"	"2017"	"Female"	"F"	35	4610	7.59
	"Florida"	"12"	"Broward County, FL"	"12011"	"Black or African American"	"2054-5"	"2017"	"2017"	"Male"	"M"	39	4686	8.32
	"Florida"	"12"	"Broward County, FL"	"12011"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	13	5840	2.23 (Unreliable)
	"Florida"	"12"	"Broward County, FL"	"12011"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	16	5911	2.71 (Unreliable)
	"Florida"	"12"	"Duval County, FL"	"12031"	"Black or African American"	"2054-5"	"2017"	"2017"	"Female"	"F"	27	2476	10.90
	"Florida"	"12"	"Duval County, FL"	"12031"	"Black or African American"	"2054-5"	"2017"	"2017"	"Male"	"M"	30	2627	11.42
	"Florida"	"12"	"Duval County, FL"	"12031"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	15	3525	4.26 (Unreliable)
	"Florida"	"12"	"Duval County, FL"	"12031"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	25	3519	7.10
	"Florida"	"12"	"Escambia County, FL"	"12033"	"Black or African American"	"2054-5"	"2017"	"2017"	"Male"	"M"	11	661	16.64 (Unreliable)
	"Florida"	"12"	"Hillsborough County, FL"	"12057"	"Black or African American"	"2054-5"	"2017"	"2017"	"Female"	"F"	18	2005	8.98 (Unreliable)
	"Florida"	"12"	"Hillsborough County, FL"	"12057"	"Black or African American"	"2054-5"	"2017"	"2017"	"Male"	"M"	28	2098	13.35
	"Florida"	"12"	"Hillsborough County, FL"	"12057"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	26	6053	4.30
	"Florida"	"12"	"Hillsborough County, FL"	"12057"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	34	6149	5.53
	"Florida"	"12"	"Lake County, FL"	"12069"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	10	1292	7.74 (Unreliable)
	"Florida"	"12"	"Lee County, FL"	"12071"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	15	2826	5.31 (Unreliable)
	"Florida"	"12"	"Marion County, FL"	"12083"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	15	1291	11.62 (Unreliable)
	"Florida"	"12"	"Miami-Dade County, FL"	"12086"	"Black or African American"	"2054-5"	"2017"	"2017"	"Female"	"F"	38	3604	10.54
	"Florida"	"12"	"Miami-Dade County, FL"	"12086"	"Black or African American"	"2054-5"	"2017"	"2017"	"Male"	"M"	41	3654	11.22
	"Florida"	"12"	"Miami-Dade County, FL"	"12086"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	40	11476	3.49
	"Florida"	"12"	"Miami-Dade County, FL"	"12086"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	42	12239	3.43
	"Florida"	"12"	"Orange County, FL"	"12095"	"Black or African American"	"2054-5"	"2017"	"2017"	"Female"	"F"	35	2872	12.19
	"Florida"	"12"	"Orange County, FL"	"12095"	"Black or African American"	"2054-5"	"2017"	"2017"	"Male"	"M"	40	3016	13.26
	"Florida"	"12"	"Orange County, FL"	"12095"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	21	4708	4.46
	"Florida"	"12"	"Orange County, FL"	"12095"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	19	5004	3.80 (Unreliable)
	"Florida"	"12"	"Osceola County, FL"	"12097"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	10	1640	6.10 (Unreliable)
	"Florida"	"12"	"Palm Beach County, FL"	"12099"	"Black or African American"	"2054-5"	"2017"	"2017"	"Female"	"F"	16	2704	5.92 (Unreliable)
	"Florida"	"12"	"Palm Beach County, FL"	"12099"	"Black or African American"	"2054-5"	"2017"	"2017"	"Male"	"M"	15	2683	5.59 (Unreliable)
	"Florida"	"12"	"Palm Beach County, FL"	"12099"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	17	4289	3.96 (Unreliable)
	"Florida"	"12"	"Palm Beach County, FL"	"12099"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	15	4539	3.30 (Unreliable)
	"Florida"	"12"	"Pasco County, FL"	"12101"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	14	2188	6.40 (Unreliable)
	"Florida"	"12"	"Pinellas County, FL"	"12103"	"Black or African American"	"2054-5"	"2017"	"2017"	"Male"	"M"	12	925	12.97 (Unreliable)
	"Florida"	"12"	"Pinellas County, FL"	"12103"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	12	2876	4.17 (Unreliable)
	"Florida"	"12"	"Pinellas County, FL"	"12103"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	21	2992	7.02
	"Florida"	"12"	"Polk County, FL"	"12105"	"Black or African American"	"2054-5"	"2017"	"2017"	"Female"	"F"	16	845	18.93 (Unreliable)
	"Florida"	"12"	"Polk County, FL"	"12105"	"Black or African American"	"2054-5"	"2017"	"2017"	"Male"	"M"	12	901	13.32 (Unreliable)
	"Florida"	"12"	"Polk County, FL"	"12105"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	19	2850	6.67 (Unreliable)
	"Florida"	"12"	"Polk County, FL"	"12105"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	14	2967	4.72 (Unreliable)
	"Florida"	"12"	"Seminole County, FL"	"12117"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	13	1674	7.77 (Unreliable)
	"Florida"	"12"	"Volusia County, FL"	"12127"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	12	1931	6.21 (Unreliable)
	"Florida"	"12"	"Unidentified Counties, FL"	"12999"	"Black or African American"	"2054-5"	"2017"	"2017"	"Female"	"F"	21	2570	8.17
	"Florida"	"12"	"Unidentified Counties, FL"	"12999"	"Black or African American"	"2054-5"	"2017"	"2017"	"Male"	"M"	28	2725	10.28
	"Florida"	"12"	"Unidentified Counties, FL"	"12999"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	70	12703	5.51
	"Florida"	"12"	"Unidentified Counties, FL"	"12999"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	100	13649	7.33
	"Georgia"	"13"	"Chatham County, GA"	"13051"	"Black or African American"	"2054-5"	"2017"	"2017"	"Male"	"M"	17	868	19.59 (Unreliable)
	"Georgia"	"13"	"Clayton County, GA"	"13063"	"Black or African American"	"2054-5"	"2017"	"2017"	"Female"	"F"	13	1341	9.69 (Unreliable)
	"Georgia"	"13"	"Clayton County, GA"	"13063"	"Black or African American"	"2054-5"	"2017"	"2017"	"Male"	"M"	19	1403	13.54 (Unreliable)
	"Georgia"	"13"	"Cobb County, GA"	"13067"	"Black or African American"	"2054-5"	"2017"	"2017"	"Female"	"F"	18	1582	11.38 (Unreliable)
	"Georgia"	"13"	"Cobb County, GA"	"13067"	"Black or African American"	"2054-5"	"2017"	"2017"	"Male"	"M"	18	1568	11.48 (Unreliable)
	"Georgia"	"13"	"Cobb County, GA"	"13067"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	15	2776	5.40 (Unreliable)
	"Georgia"	"13"	"DeKalb County, GA"	"13089"	"Black or African American"	"2054-5"	"2017"	"2017"	"Female"	"F"	33	2854	11.56
	"Georgia"	"13"	"DeKalb County, GA"	"13089"	"Black or African American"	"2054-5"	"2017"	"2017"	"Male"	"M"	30	2972	10.09
	"Georgia"	"13"	"Fulton County, GA"	"13121"	"Black or African American"	"2054-5"	"2017"	"2017"	"Female"	"F"	30	3353	8.95
	"Georgia"	"13"	"Fulton County, GA"	"13121"	"Black or African American"	"2054-5"	"2017"	"2017"	"Male"	"M"	28	3446	8.13
	"Georgia"	"13"	"Gwinnett County, GA"	"13135"	"Black or African American"	"2054-5"	"2017"	"2017"	"Female"	"F"	14	1744	8.03 (Unreliable)
	"Georgia"	"13"	"Gwinnett County, GA"	"13135"	"Black or African American"	"2054-5"	"2017"	"2017"	"Male"	"M"	18	1722	10.45 (Unreliable)
	"Georgia"	"13"	"Gwinnett County, GA"	"13135"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	17	3089	5.50 (Unreliable)
	"Georgia"	"13"	"Gwinnett County, GA"	"13135"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	13	3260	3.99 (Unreliable)
	"Georgia"	"13"	"Unidentified Counties, GA"	"13999"	"Black or African American"	"2054-5"	"2017"	"2017"	"Female"	"F"	117	11581	10.10
	"Georgia"	"13"	"Unidentified Counties, GA"	"13999"	"Black or African American"	"2054-5"	"2017"	"2017"	"Male"	"M"	146	12101	12.07
	"Georgia"	"13"	"Unidentified Counties, GA"	"13999"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	138	23834	5.79
	"Georgia"	"13"	"Unidentified Counties, GA"	"13999"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	133	25260	5.27
	"Hawaii"	"15"	"Honolulu County, HI"	"15003"	"More than one race"	"M"	"2017"	"2017"	"Female"	"F"	12	1868	6.42 (Unreliable)
	"Hawaii"	"15"	"Honolulu County, HI"	"15003"	"More than one race"	"M"	"2017"	"2017"	"Male"	"M"	12	2058	5.83 (Unreliable)
	"Idaho"	"16"	"Ada County, ID"	"16001"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	11	2128	5.17 (Unreliable)
	"Idaho"	"16"	"Unidentified Counties, ID"	"16999"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	31	7936	3.91
	"Idaho"	"16"	"Unidentified Counties, ID"	"16999"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	38	8340	4.56
	"Illinois"	"17"	"Cook County, IL"	"17031"	"Asian"	"A"	"2017"	"2017"	"Female"	"F"	14	2839	4.93 (Unreliable)
	"Illinois"	"17"	"Cook County, IL"	"17031"	"Asian"	"A"	"2017"	"2017"	"Male"	"M"	15	2977	5.04 (Unreliable)
	"Illinois"	"17"	"Cook County, IL"	"17031"	"Black or African American"	"2054-5"	"2017"	"2017"	"Female"	"F"	77	8245	9.34
	"Illinois"	"17"	"Cook County, IL"	"17031"	"Black or African American"	"2054-5"	"2017"	"2017"	"Male"	"M"	125	8706	14.36
	"Illinois"	"17"	"Cook County, IL"	"17031"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	75	20141	3.72
	"Illinois"	"17"	"Cook County, IL"	"17031"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	90	20705	4.35
	"Illinois"	"17"	"DuPage County, IL"	"17043"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	22	4005	5.49
	"Illinois"	"17"	"Kane County, IL"	"17089"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	13	2953	4.40 (Unreliable)
	"Illinois"	"17"	"Lake County, IL"	"17097"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	11	2933	3.75 (Unreliable)
	"Illinois"	"17"	"Lake County, IL"	"17097"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	17	3031	5.61 (Unreliable)
	"Illinois"	"17"	"St. Clair County, IL"	"17163"	"Black or African American"	"2054-5"	"2017"	"2017"	"Female"	"F"	11	619	17.77 (Unreliable)
	"Illinois"	"17"	"St. Clair County, IL"	"17163"	"Black or African American"	"2054-5"	"2017"	"2017"	"Male"	"M"	16	690	23.19 (Unreliable)
	"Illinois"	"17"	"Will County, IL"	"17197"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	14	3023	4.63 (Unreliable)
	"Illinois"	"17"	"Winnebago County, IL"	"17201"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	14	1200	11.67 (Unreliable)
	"Illinois"	"17"	"Winnebago County, IL"	"17201"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	12	1313	9.14 (Unreliable)
	"Illinois"	"17"	"Unidentified Counties, IL"	"17999"	"Black or African American"	"2054-5"	"2017"	"2017"	"Female"	"F"	24	2181	11.00
	"Illinois"	"17"	"Unidentified Counties, IL"	"17999"	"Black or African American"	"2054-5"	"2017"	"2017"	"Male"	"M"	43	2307	18.64
	"Illinois"	"17"	"Unidentified Counties, IL"	"17999"	"White"	"2106-3"	"2017"	"2017"	"Female"	"F"	84	16622	5.05
	"Illinois"	"17"	"Unidentified Counties, IL"	"17999"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	109	17590	6.20
	"Indiana"	"18"	"Allen County, IN"	"18003"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	17	1972	8.62 (Unreliable)
	"Indiana"	"18"	"Hamilton County, IN"	"18057"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	11	1708	6.44 (Unreliable)
	"Indiana"	"18"	"Lake County, IN"	"18089"	"Black or African American"	"2054-5"	"2017"	"2017"	"Female"	"F"	19	964	19.71 (Unreliable)
	"Indiana"	"18"	"Lake County, IN"	"18089"	"Black or African American"	"2054-5"	"2017"	"2017"	"Male"	"M"	14	898	15.59 (Unreliable)
	"Indiana"	"18"	"Lake County, IN"	"18089"	"White"	"2106-3"	"2017"	"2017"	"Male"	"M"	10	1802	5.55 (Unreliable)
	"Indiana"	"18"	"Marion County, IN"	"18097"	"Black or African American"	"2054-5"	"2017"	"2017"	"Female"	"F"	23	2286	10.06
