Month_code,Month,Birthplace_code,Birthplace,Delivery_method_code,Delivery_method,Fetal_presentation_code,Fetal_presentation,Five_min_APGAR_score_code,Five_min_APGAR_score,Average_Age_Mother_years,Average_Birth_Weight_grams,Average_Interval_Since_Last_Live_Birth_months,Average_LMP_Gestational_Age_weeks,Average_Prenatal_Visits,Average_OE_Gestational_Age_weeks,Average_Pre-pregnancy_BMI,Births
1,January,1,In Hospital,3,Primary C-section,3,Other,0,0,27.67,1498.33,23,30.67,8.5,28.33,27.77,3
1,January,1,In Hospital,3,Primary C-section,3,Other,1,1,38,899.5,43,26,10.5,26,25.7,2
1,January,1,In Hospital,3,Primary C-section,3,Other,2,2,25.14,1210.57,43,27.86,4.57,27.43,26.27,7
1,January,1,In Hospital,3,Primary C-section,3,Other,3,3,29.4,2465.9,31.67,34.9,8.62,33.9,25.78,10
1,January,1,In Hospital,3,Primary C-section,3,Other,4,4,25.5,2589,52.6,34.58,8.91,34.92,30.28,12
1,January,1,In Hospital,3,Primary C-section,3,Other,5,5,27.08,2674.08,60.8,34.38,7.75,34.38,27.34,13
1,January,1,In Hospital,3,Primary C-section,3,Other,6,6,29.93,2255.81,65.31,33.7,12.12,33.22,30.63,27
1,January,1,In Hospital,3,Primary C-section,3,Other,7,7,29.83,2344.04,45.1,34.23,11.06,34.36,28.93,53
1,January,1,In Hospital,3,Primary C-section,3,Other,8,8,28.95,2823.34,61.9,36.54,10.18,36.39,29.07,158
1,January,1,In Hospital,3,Primary C-section,3,Other,9,9,30.19,3102.04,61.8,38.04,11.56,37.93,28.41,745
1,January,1,In Hospital,3,Primary C-section,3,Other,10,10,32.21,3246.79,51,38.84,10.89,38.79,30.6,19
1,January,1,In Hospital,3,Primary C-section,3,Other,99,Unknown or Not Stated,29,1836,51,28.43,6.75,27.86,33.71,8
1,January,1,In Hospital,3,Primary C-section,9,Unknown or Not Stated,1,1,22.5,2219,16,35.5,13.5,34.5,32.4,2
1,January,1,In Hospital,3,Primary C-section,9,Unknown or Not Stated,2,2,25,2963.33,Not Applicable,37,5.5,35.67,38.93,3
1,January,1,In Hospital,3,Primary C-section,9,Unknown or Not Stated,4,4,22,1450,Not Applicable,29,,29,25.7,1
1,January,1,In Hospital,3,Primary C-section,9,Unknown or Not Stated,5,5,33,3720,Not Applicable,40,15,40,37.8,1
1,January,1,In Hospital,3,Primary C-section,9,Unknown or Not Stated,6,6,24.67,3332.6,25,39,12.6,39,28.35,6
1,January,1,In Hospital,3,Primary C-section,9,Unknown or Not Stated,7,7,26.45,2710.45,93.4,38.09,10.67,37.18,31.55,11
1,January,1,In Hospital,3,Primary C-section,9,Unknown or Not Stated,8,8,27,2875.9,49.4,37.07,12.28,37.24,29.88,29
1,January,1,In Hospital,3,Primary C-section,9,Unknown or Not Stated,9,9,28.81,3212.95,65.55,38.55,12.64,38.15,28.16,191
1,January,1,In Hospital,3,Primary C-section,9,Unknown or Not Stated,10,10,25.83,3667.17,30.67,38.67,14,38.67,27.7,6
1,January,1,In Hospital,3,Primary C-section,9,Unknown or Not Stated,99,Unknown or Not Stated,32,1960,26,31,8,31,32.7,1
1,January,1,In Hospital,4,Repeat C-section,1,Cephalic,0,0,30.69,2401.38,54.58,33.62,9.46,34.15,33.43,13
1,January,1,In Hospital,4,Repeat C-section,1,Cephalic,1,1,32.56,2297.19,53.11,33.6,11.05,33.65,29.26,43
1,January,1,In Hospital,4,Repeat C-section,1,Cephalic,2,2,31.98,2336.09,52.81,33.82,9.24,33.53,30.44,45
1,January,1,In Hospital,4,Repeat C-section,1,Cephalic,3,3,31.06,2682.82,54.32,35.22,10.22,34.97,31.94,64
1,January,1,In Hospital,4,Repeat C-section,1,Cephalic,4,4,30.9,2675.37,52.14,35.29,9.77,35.05,30.56,92
1,January,1,In Hospital,4,Repeat C-section,1,Cephalic,5,5,30.49,2868.16,51.71,35.96,9.9,35.82,29.93,134
1,January,1,In Hospital,4,Repeat C-section,1,Cephalic,6,6,30.77,2742.13,54.03,35.93,10.51,35.67,31.04,290
1,January,1,In Hospital,4,Repeat C-section,1,Cephalic,7,7,30.76,2891.85,53.64,36.42,10.34,36.19,30.63,713
1,January,1,In Hospital,4,Repeat C-section,1,Cephalic,8,8,30.69,3199.97,53.24,37.71,10.85,37.56,30,4291
1,January,1,In Hospital,4,Repeat C-section,1,Cephalic,9,9,30.92,3335.98,52.19,38.51,11.25,38.37,29.15,33597
1,January,1,In Hospital,4,Repeat C-section,1,Cephalic,10,10,30.1,3383.62,49.1,38.7,11.36,38.58,29.21,818
1,January,1,In Hospital,4,Repeat C-section,1,Cephalic,99,Unknown or Not Stated,32.76,3121.48,46.04,37.17,11.04,36.83,30.96,29
1,January,1,In Hospital,4,Repeat C-section,2,Breech,0,0,24,2722,13,30,2,30,27.3,1
1,January,1,In Hospital,4,Repeat C-section,2,Breech,1,1,32.62,1828.08,55.6,29.62,7.62,29.08,29.27,13
1,January,1,In Hospital,4,Repeat C-section,2,Breech,2,2,32.12,1171.62,71.83,27.62,8.17,27.75,31.62,8
1,January,1,In Hospital,4,Repeat C-section,2,Breech,3,3,30.64,1896.57,36.7,33,7.83,31.29,27.62,14
1,January,1,In Hospital,4,Repeat C-section,2,Breech,4,4,30.92,1691.77,53.27,31.08,8.77,30.69,34.74,13
1,January,1,In Hospital,4,Repeat C-section,2,Breech,5,5,32.83,1830.83,68.12,32.4,9.13,31.7,30.52,40
1,January,1,In Hospital,4,Repeat C-section,2,Breech,6,6,32.73,1906.1,55.37,31.5,9.02,32.15,30.66,48
1,January,1,In Hospital,4,Repeat C-section,2,Breech,7,7,31.64,2337.87,59.8,34.38,10.17,34.62,31.67,110
1,January,1,In Hospital,4,Repeat C-section,2,Breech,8,8,32.09,2593.09,54.18,35.26,10.24,35.11,31.24,358
1,January,1,In Hospital,4,Repeat C-section,2,Breech,9,9,31.89,3051.6,55.58,37.43,11.5,37.32,29.47,1721
1,January,1,In Hospital,4,Repeat C-section,2,Breech,10,10,30.21,3235.08,45.3,38.12,10.22,38,31.64,24
1,January,1,In Hospital,4,Repeat C-section,2,Breech,99,Unknown or Not Stated,31.3,1957.67,33,32,8.38,31.5,31.46,10
1,January,1,In Hospital,4,Repeat C-section,3,Other,2,2,32.67,956.67,80.67,25.67,5,25.67,32.93,3
1,January,1,In Hospital,4,Repeat C-section,3,Other,3,3,32.67,1802.33,58.67,31,8,31,26.85,3
1,January,1,In Hospital,4,Repeat C-section,3,Other,4,4,28.67,1313.33,62.67,29,6,27.67,31.27,3
1,January,1,In Hospital,4,Repeat C-section,3,Other,5,5,26,1899,61,32,15,32,28.9,1
1,January,1,In Hospital,4,Repeat C-section,3,Other,6,6,30.79,2292.71,51.3,33.5,9.29,32.93,29.96,14
1,January,1,In Hospital,4,Repeat C-section,3,Other,7,7,32.17,2597.11,63.92,35.22,10.76,34.83,30.07,18
1,January,1,In Hospital,4,Repeat C-section,3,Other,8,8,31.75,3108.06,60.38,37.8,10.58,37.25,30.56,69
1,January,1,In Hospital,4,Repeat C-section,3,Other,9,9,31,3335.13,51.17,38.39,10.86,38.21,30.18,427
1,January,1,In Hospital,4,Repeat C-section,3,Other,10,10,31.22,3589.22,48,39.44,12,38.89,27.75,9
1,January,1,In Hospital,4,Repeat C-section,3,Other,99,Unknown or Not Stated,22,4763,17,40,18,40,24.8,1
1,January,1,In Hospital,4,Repeat C-section,9,Unknown or Not Stated,1,1,24,1670,28,32,6,32,24.1,1
1,January,1,In Hospital,4,Repeat C-section,9,Unknown or Not Stated,2,2,34,840,Not Applicable,26,,26,,1
1,January,1,In Hospital,4,Repeat C-section,9,Unknown or Not Stated,4,4,31,2310,77,36,9,36,24.9,1
1,January,1,In Hospital,4,Repeat C-section,9,Unknown or Not Stated,5,5,17,3240,11,37,5,37,31.6,1
1,January,1,In Hospital,4,Repeat C-section,9,Unknown or Not Stated,7,7,26.83,2546.17,26.67,33.83,4.8,34.33,28.43,6
1,January,1,In Hospital,4,Repeat C-section,9,Unknown or Not Stated,8,8,30.72,3079.36,49.17,38.4,11.54,37.32,30.8,25
1,January,1,In Hospital,4,Repeat C-section,9,Unknown or Not Stated,9,9,30.33,3244.47,55.31,38.42,12.65,38.25,28.84,231
1,January,1,In Hospital,4,Repeat C-section,9,Unknown or Not Stated,10,10,29.5,3499.17,30.17,39,12.17,38,35.05,6
1,January,1,In Hospital,4,Repeat C-section,9,Unknown or Not Stated,99,Unknown or Not Stated,30.5,3835,96.5,39.5,9,39,23.8,2
1,January,1,In Hospital,5,Vaginal (unknown if previous c-section),1,Cephalic,0,0,27,507,Not Applicable,22,,23,27.06,21
1,January,1,In Hospital,5,Vaginal (unknown if previous c-section),1,Cephalic,2,2,21,1347.5,Not Applicable,21,3,21,24.8,2
1,January,1,In Hospital,5,Vaginal (unknown if previous c-section),1,Cephalic,5,5,33,3855,Not Applicable,42,0,42,,1
1,January,1,In Hospital,5,Vaginal (unknown if previous c-section),1,Cephalic,6,6,28,2462.67,Not Applicable,34.33,8.33,34.33,28.37,3
1,January,1,In Hospital,5,Vaginal (unknown if previous c-section),1,Cephalic,7,7,23.67,3488.33,46.5,41.33,6.67,39.67,23.63,3
1,January,1,In Hospital,5,Vaginal (unknown if previous c-section),1,Cephalic,8,8,28.63,2736.58,35.7,35.95,5.67,35.74,25.42,19
1,January,1,In Hospital,5,Vaginal (unknown if previous c-section),1,Cephalic,9,9,27.39,3243.46,51.3,38.55,7.03,38.74,25.97,83
1,January,1,In Hospital,5,Vaginal (unknown if previous c-section),1,Cephalic,10,10,27.33,3558,53.5,39.67,13.33,39.33,24.8,3
1,January,1,In Hospital,5,Vaginal (unknown if previous c-section),1,Cephalic,99,Unknown or Not Stated,36.67,1861.5,Not Applicable,33,0,33,31.6,3
1,January,1,In Hospital,5,Vaginal (unknown if previous c-section),2,Breech,1,1,20,380,Not Applicable,24,0,24,,1
1,January,1,In Hospital,5,Vaginal (unknown if previous c-section),2,Breech,9,9,25,2041,10,34,0,34,27.4,1
1,January,1,In Hospital,5,Vaginal (unknown if previous c-section),3,Other,9,9,21,2685,Not Applicable,39,11,38,23.2,1
1,January,1,In Hospital,5,Vaginal (unknown if previous c-section),9,Unknown or Not Stated,1,1,27,284,Not Applicable,20,,20,,1
1,January,1,In Hospital,5,Vaginal (unknown if previous c-section),9,Unknown or Not Stated,7,7,19,2510,Not Applicable,39,,39,,1
1,January,1,In Hospital,5,Vaginal (unknown if previous c-section),9,Unknown or Not Stated,8,8,37,2610,Not Applicable,35,,35,,1
1,January,1,In Hospital,5,Vaginal (unknown if previous c-section),9,Unknown or Not Stated,9,9,30.5,3126.21,98.5,38.36,11,38.29,29.2,14
1,January,1,In Hospital,5,Vaginal (unknown if previous c-section),9,Unknown or Not Stated,99,Unknown or Not Stated,26.5,2466,26,33,0,33,29.95,2
1,January,1,In Hospital,6,C-section (unknown if previous c-section),1,Cephalic,5,5,29,3396,Not Applicable,39,9,39,28.6,1
1,January,1,In Hospital,6,C-section (unknown if previous c-section),1,Cephalic,6,6,23,1670,Not Applicable,32,,32,,1
1,January,1,In Hospital,6,C-section (unknown if previous c-section),1,Cephalic,8,8,31.8,3115.6,52.33,36.4,8.75,36.6,34.07,5
1,January,1,In Hospital,6,C-section (unknown if previous c-section),1,Cephalic,9,9,30.5,3239.87,59.21,38.1,9.75,38.47,27.67,30
1,January,1,In Hospital,6,C-section (unknown if previous c-section),1,Cephalic,99,Unknown or Not Stated,27.67,2589.33,20.5,35.33,5,35.67,30.5,3
1,January,1,In Hospital,6,C-section (unknown if previous c-section),2,Breech,9,9,29,3164.5,54.5,38.5,6,38.5,29.55,2
1,January,1,In Hospital,6,C-section (unknown if previous c-section),2,Breech,99,Unknown or Not Stated,32.33,1385,Not Applicable,29.67,0,30,21.3,3
1,January,1,In Hospital,6,C-section (unknown if previous c-section),3,Other,8,8,27,3303,Not Applicable,39,12,39,54.5,1
1,January,1,In Hospital,6,C-section (unknown if previous c-section),3,Other,9,9,32.5,3597.5,83,34.5,1,38.5,34.85,2
1,January,1,In Hospital,6,C-section (unknown if previous c-section),9,Unknown or Not Stated,5,5,35,2370,Not Applicable,35,10,35,25.2,1
1,January,1,In Hospital,6,C-section (unknown if previous c-section),9,Unknown or Not Stated,7,7,34,2700,Not Applicable,39,,39,,1
1,January,1,In Hospital,6,C-section (unknown if previous c-section),9,Unknown or Not Stated,8,8,28.5,1780,50,33.5,2,33,,2
1,January,1,In Hospital,6,C-section (unknown if previous c-section),9,Unknown or Not Stated,9,9,28.6,3072.3,72,37.6,11.22,37.5,28.6,10
1,January,1,In Hospital,9,Unknown or Not Stated,1,Cephalic,6,6,29,3657,32,37,10,37,42.9,1
1,January,1,In Hospital,9,Unknown or Not Stated,1,Cephalic,7,7,30,3245,Not Applicable,41,12,41,22.2,1
1,January,1,In Hospital,9,Unknown or Not Stated,1,Cephalic,8,8,33.4,3236.4,64.25,39.6,14.8,39.4,22.84,5
1,January,1,In Hospital,9,Unknown or Not Stated,1,Cephalic,9,9,29.37,3417.93,37.75,38.78,12.92,38.67,27.42,27
1,January,1,In Hospital,9,Unknown or Not Stated,2,Breech,9,9,28,3912,23,39,8,39,22.1,1
1,January,1,In Hospital,9,Unknown or Not Stated,9,Unknown or Not Stated,5,5,27,2198,Not Applicable,38,9,37,23.8,1
1,January,1,In Hospital,9,Unknown or Not Stated,9,Unknown or Not Stated,6,6,32,2637,Not Applicable,41,9,32,18.3,1
1,January,1,In Hospital,9,Unknown or Not Stated,9,Unknown or Not Stated,8,8,23.8,3079.2,29,39,8.33,39,29.57,5
1,January,1,In Hospital,9,Unknown or Not Stated,9,Unknown or Not Stated,9,9,28.24,3522.03,43.59,39.36,10.42,39.24,25.57,34
1,January,1,In Hospital,9,Unknown or Not Stated,9,Unknown or Not Stated,99,Unknown or Not Stated,27.2,2922.67,63,34,0,39,26.6,10
1,January,2,Not in Hospital,1,Vaginal (excludes vaginal after previous C-section),1,Cephalic,0,0,27.25,1804.5,46.83,31.43,4.62,32,28.3,8
1,January,2,Not in Hospital,1,Vaginal (excludes vaginal after previous C-section),1,Cephalic,1,1,32.5,3264.5,56,39.5,12,39.5,21.5,2
1,January,2,Not in Hospital,1,Vaginal (excludes vaginal after previous C-section),1,Cephalic,2,2,37,2731,41.33,36,6,34.67,30.37,3
1,January,2,Not in Hospital,1,Vaginal (excludes vaginal after previous C-section),1,Cephalic,3,3,29,4054,17,40,13,40,30.4,1
1,January,2,Not in Hospital,1,Vaginal (excludes vaginal after previous C-section),1,Cephalic,4,4,29.08,3263.83,29.67,39,7.42,39.08,24.47,12
1,January,2,Not in Hospital,1,Vaginal (excludes vaginal after previous C-section),1,Cephalic,5,5,28.36,3389.82,36.14,39.64,7.5,39.55,24.48,22
